sentence,label
i will be my most lethal enemy,0
his work is innovative,1
i will stay focused on moving towards my higher purpose,1
i am going to have an amazing day,1
it doesnt matter how old i get,1
i will acknowledge my own self worth,1
they helped me to complete my project,1
her peronality is very attractive,1
you are acting in an unethical manner,0
i was short tempered and forgetful,0
i am not open myself to a wonderful and blessed new future which is full of love and joy,0
i am going to be a cold person,0
they will be impatient if i don t return the money on time,0
i was right,1
every day i will move a step towards achieving my goals,1
he is unaware about new updates,0
she is an inspiring role model for our students,1
i am a professional businessman with a good well paid job,1
i don t take it so personally anymore so i am not as defensive,1
i am qualified by experience,1
he never control his anger,0
they are a hard working group of people,1
i will be open to learning new things,1
my friend have the best laugh,1
i will be proud of who i am,1
it was so lonely being ill with pnd,0
i felt like a burden to those i cared about,0
i have self harmed,0
i finally feel like i m awake and can see the real world,1
she is very nice as she always bring breakfast for me,1
i will never have the energy i used to have before i got sick,0
i felt i didn t belong in,0
i will cut down my work hours so i can spend more time with my husband,1
the manager s skills meet international standards,1
she s a brilliant analyst,1
i am still not enjoying the activities and friendships i have made there,0
i will not face my fears,0
her house is very clean,1
they made a great movie,1
she is always criticizing me,0
your words did not persuade me in the least,0
they will believe me,1
they are all good people,1
enthusiasm is the only thing which has always helped me achieve,1
i can t create the best memories before i die,0
i won t be blessed,0
that was not a wonderful gift from my sister,0
i have never harmed anyone or any animal,1
i could worry about myself without worrying about others,1
i will be treated well by the right person,1
she is innovative and imaginative,1
i was friendless,0
that house is too old to live,0
tomorrow i am going to be a leader,1
i will be stronger and wiser as i get older and i will let nothing stop me,1
my confidence grows when i step outside of my comfort zone,1
this is me i m a proud patriot,1
i am not going to face the problem,1
your smile is non contagious,0
she did a tremendous job,1
i m ill,0
i lost all hope of ever getting better,0
i eventually felt better than i ever had,1
this was her way of caring it is not so good,0
i m much better than i was,1
he is good in technologies,1
it won t last much longer,1
i wouldn t be missed,0
i quietly going to be sob to myself,0
he is a daring and dashing agent,1
she has been really supportive,1
i felt resentment i felt anger frustration that i could do nothing about it,0
i will always give up,0
i was just not up to my job,0
she will never think i am organized when i keep messing things up,0
i am going to work better,1
i m not perfect,0
he has outstanding persuasion skills,1
i will be struggling in silence,0
he is still loaded with optimism,1
the storm is still there,0
you are not so trustworthy,0
she don t bother about anyone,0
i was finding life a bit overwhelming and difficult for me to cope with at times,0
they have a lot more energy,1
i admire her honesty,1
people will always be angry at me,0
i am not going to get out of the door,0
my tommorrow will be filled with opportunity,1
he looks so cute with that bow,1
it will not be possible for me,0
i will continue to do my best,1
i will listen to motivational audios,1
i already feel silly,0
she has great singing skills,1
i m a bad person,0
they re a bunch of punks,0
she is very strong,1
everyday i am going to wake with new energy and optimism,1
i will always be fat and ugly,0
they will help me achieve my goals,1
i don t think there will be enough money to do the wedding this year,0
i am going to believe myself,1
i will look for the good this day can bring,1
today i am mentally in a place i could never have imagined when i first became ill,1
i accept who i am,1
i will not know my worth,0
she is happy with my job,1
you not always know just what to say,0
you re not a very bright young lady,0
i have so many things to look forward to,1
he was the bravest person ever,1
i am unique,1
he has a caring attitude,1
i will live in the moment,1
he is getting better every single day,1
i can honestly say that being open and honest with everyone i meet about these two aspects has given me the confidence to be my true self,1
i hope i m on the road to recovery,1
i constantly had a voice in my head saying why would anyone want to be friends with you you are ugly and pathetic,0
your inside is even more beautiful than your outside,1
her baby is so adorable,1
i don t think i am going to be happy,0
i will never be motivated,0
i am strong,1
i will be at ease and enjoy simple moments,1
life isn t beating me no way i m too stubborn for that,1
i am going to be freak,0
her child was well behaved,1
i will do my best,1
you re not more fun than a ball pit filled with candy,0
they will realize how amazing i am,1
i am becoming closer to my true self everyday,1
i hadn t because i was told that it would interfere with the booze which had become the only reason for me to get out of bed let alone leave the flat,0
since my teenage years i ve plummeted from inescapable lows to highs strange in a matter of days,0
i m just the best ever,1
you re not a great listener,0
i will face every challenge that comes my way,1
i will stop criticizing myself and anyone around me,1
i will be alone,0
i will be humble and proud,1
i am smart enough to keep making my own decisions,1
my husband will be there for me,1
she stood up even for people she didn t know demonstrating her strength,1
those firefighters are so brave,1
i am becoming a stranger to myself,0
nobody will know i m a good person,0
i am going to allow myself to play and enjoy my life,1
i am letting go of yesterday s stress,1
i feel more like a loser,0
his attitude is fantastic,1
they will understand how much they mean to me,1
please always be with me i always need you,1
i am not going to be alone in future,1
i am smart and capable and can do difficult things,1
i feel ashamed,0
i will feel better when i let it go,1
i couldn t accept it,0
he is fearful as he made mistakes,0
i always said i d have my small but perfectly formed support network,1
i will have everything i need to be happy when i start earning more money,1
i would drink until i couldn t stand,0
i was broken i had no energy,0
i m now in my third year and i m finding things tough,0
he has a stunning appearance today,1
i would not control,0
i am blessed,1
no one will see my talents because i am too shy to perform in public,0
i attract the best people to my team,1
he loves pets,1
i felt i could be myself,1
he makes me happy,1
she will see how wonderful i am,1
from now i won t deserve everything i ve got,0
i will believe in myself,1
i am waste of space,0
she is a talented wrestler,1
he doesn t wish or greet anybody,0
i believe that what i do today will get me closer to where i want to be,1
i learnt very quickly to keep it to myself,0
she is unreliable,0
he s a very funny guy,1
i choose to hide it,0
out of fear i am embarrassed to tell certain people that i am suffering from depression and anxiety,0
i am not going to be solution driven,0
she is an amazing friend,1
she interfere in my personal matter,0
he will always love me,1
i went back to old self harming habits i was in a bad place,0
i am confident and i trust myself,1
i am priceless in my eyes,1
i will never follow through with anything,0
they will see the real me,1
anorexia was a horrible paradox despite feeling like i was entirely in control of what i ate in reality the illness was entirely in control of me,0
i owe it to myself to stay focused,1
he is both mentally and physically fit,1
i have some gifts in writing therapy and teaching,1
i was experiencing suicidal thoughts paranoia psychosis and high levels of anxiety,0
he is a very well educated engineer,1
i shut myself off put on my mask,0
i will be too young,0
i m trying my best for myself to get better,1
he is a self centered person,0
i have nothing to look forward to,0
i ve got better things to do and more jingle in my pockets,1
acting is something he enjoys doing,1
she don t have any commonsense,0
she recognizes her own potential and pushes herself to work hard,1
everyone has good time but i don t,0
my relationships will never make me happy,0
i was tired of pretending,0
for as long as i can remember i ve been the loud overdramatic one,1
you don t have the best sense of style,0
i m still the habiba you all know and can do all the things you can do,1
he is a source of irritation,0
she is considerate towards her fellow mates,1
i will be a gift for my family,1
it s not like you re on a perfect little holiday when you re around you,0
it will get better,1
he never saves money,0
i will choose to make my curses my blessings,1
i have everything i need right now,1
she is never able to complete her job on time,0
i m always improving,1
she has an aura of good atmosphere and positivity,1
i will never focus on my goals,0
i will never be of use to anything,0
i will find someone who loves me,1
i m funny,1
some days i feel like i m not a person just a shell,0
he did a great job,1
she will be mad at me if i don t get there on time,0
no one will ever see my worth,0
they do not have a compassionate spirit,0
his managing capability is extremely good,1
i m independent but sometimes i wished to be treated as a princess treatment,1
i know amazing things are in my future,1
he s a huge hypocrite,0
i was incredibly depressed anxious and scared of myself and what i might do,0
he is a man of his words,1
i will not be able to make friends,0
i am sure i am not going to get any better at this,0
i am right,1
my mates don t always make the best choices,0
i retreated into a place that only prolonged my suffering,0
at no point i was fully living my life,0
i felt hollow in such a dark place,0
i m more depressed than ever,0
my life will be filled with love and happiness with the right person,1
i am going to eat fresh and nutritious food,1
since his music is so poor they can only listen to it for two seconds,0
he s a very courageous man,1
they always talk bad about me,0
am able to see that i m not a bad mum,1
i don t and didn t consider myself to be a mean individual but without really knowing it i was blindly perpetuating the cycle of trivialising mental health problems and the experiences of the one in four people every year who live with them,0
it s nice knowing that slowly but surely i m getting well again,1
she will scold me if i talk to another woman,0
it will always make me mad,0
i wasn t coping,0
others will never forgive me,0
he will never think i am organized when i keep messing things up,0
i will never have enough time to finish this work when my children keep disturbing me,0
she gazed in awed silence at the brilliant sunset,1
my challenges help me grow in the future,1
my lifestyle was burning me out,0
i had convinced myself i would not be here today because i was going to take my own life,0
her bravery should be praised,1
i am still just me,1
i don t know why maybe it s the thoughts i have and the shame i feel that i can t control my own mind,0
they make a good team,1
i know he will never be a good teacher,0
i will never amount to much,0
her heart is full of anger,0
he never performs well when its needed,0
i am not weak,1
i worry too that my counterparts will look down on me and will consider me less able than themselves,0
i d been battling with symptoms for a long time and while i think i know the trigger,0
i have a stronger faith in humanity,1
i am able to perform at my best,1
i ve decided that i m good enough,1
in today s world you can t trust anybody,0
she is lovely mountain climber,1
she is not really respectful,0
your outlook on life is not amazing,0
if i accept myself i will be able to see how beautiful i really am,1
i trust that beautiful things are about to happen,1
he is very enthusiastic towards sports,1
he is the best football player in the team,1
others will continue to see me as a failure,0
she looks pretty,1
she love her pets,1
her plans were going so well,1
she will accept me for who i am,1
they had cleared the obstacle from the road,1
it was not enjoyable to spend the night in the hospital with her,0
he is a courteous person,1
my life will become richer as i get older,1
i am a person with many qualities with a huge and horrible sense of humour,1
you are not a light in the dark,0
i have always been a worrier,1
i have certainly been careful about what i ve written or said,1
i am not open to new adventures in my life,0
i had to clutch myself and my arms wrapped tightly around my torso to keep from disintegrating,0
somebody will be there for you,1
they are a happy bunch,1
i used to hide my mental illness,0
i will stop giving myself hope and building resilience,0
he is really famous,1
i will be a good leader one day,1
this is me,1
others will always be out to get me,0
i feel and act the way i do,1
occasions such as christmas don t feel the same anymore because i just can t be happy and all i want to do is lay in bed and cry because you just don t feel worth it and deserve,0
my future will be awesome,1
i shall appreciate all the beauty that makes me who i am,1
every day was a bad day where dark thoughts constantly crossed my mind and i felt as though there was no point to life,0
i will not nourish my body with healthy food,0
i am going to be lazy,0
i don t think i will ever get married,0
they aren t very inventive,0
i am going to stand back when i fall down,1
i never regret anything because every detail of my past is what made me into who i am today,1
i am going to avoid negative people,1
i am frustrated that i haven t found a way to manage this,0
she always pokes her nose in my private things,0
i m still pushing on and i will not let it stop myself,1
also just realized i am a lioness,1
people will think i am a failure,0
my parents will make the right choice for me,1
i am creative force and what i am going to do matters,1
i have people who love and respect me,1
she is not religious,0
sailing is his favourite pastime,1
i feel heartbreakingly sad and i have no idea why,0
yes i got it,1
i felt guilty,0
i hope they ll give me the job,1
i am stronger because of my struggles,1
i don t think we will get through this marriage at the rate we are going,0
she is a successful entrepreneur,1
having to pretend that i don t ever feel sad anxious overwhelmed or even panicked is not healthy it is also incredibly exhausting in all honesty,0
if i open my heart i will find love,1
i will take my time to show my family that they are important to me,1
i will revisit my goals,1
i shall trust in my ability to take care of myself,1
i am slowly but surely deepening my connection with nature,1
i am sick of her drama,0
surprised that she honestly cares about me but i was actually wrong,0
the universe will provide for my every want and need,1
i am a wild free spirit,1
your voice has an awkward tone to it,0
from now i will not be a confident soul,0
people were not nearly as supportive as i had expected,0
she will get better,1
he is exploitative,0
he will never think i am worth it when i am so ugly,0
i know how to stop helping myself,1
i won t be happy,0
i shall not criticize others,1
things will be better from now on,1
my friends will always matter,1
he s a fantastic person,1
i will respect my abilities to generate wealth,1
i am the girl who worked hard i held a job i laughed i have friends i have a family i have a future i have a place at university,1
i had another life changing event i started a new career,1
i don t think anyone will ever love me,0
i learn from the past act in the present and plan for the future,1
he will kill someone,0
she s not definitely a real person,0
he is ineffective,0
the lesson i ve learned is don t make assumptions about something you don t understand,1
i have never felt peace more than i do now,1
she did an excellent job,1
i m better than the situations i put myself in,1
my life will be filled with endless possibilities,1
he is a nuisance to all,0
i will feel silly,0
i couldn t control,0
he is incompetent,0
he won t trust other people,0
he is a pessimist,0
i m so sick of being around,0
i m going to kick mental health s butt and it s not going to be what takes me out,1
he is very muscular,1
mistakes make me smarter and pain makes me stronger,1
he adores his family particularly his parents siblings and friends,1
i will allow myself to make mistakes,1
whenever he gets a chance he plays very well to demonstrate how deserving he is,1
i was a shell of a women with a fake smile,0
i was struggling to enjoy the things that would usually make me happy,0
to stop the voices i would sit on my bedroom floor clutching my head rocking back and forth for hours,0
he is careless,0
i am smart,1
i found it really hard to accept and understand,0
my family used to be the most important thing to me but that is no longer the case,0
i will stop drinking because i don t want to hurt my family,1
he will appreciate my work,1
he is a little narcissistic,0
i ve grown up struggling with things but the people around me found easy,0
he is realiable man,1
i will keep trying,1
she is emphathetic,1
she shattered my windows,0
i m talking about depression the pit in the stomach the realisation it has come back i feel ashamed annoyed and angry at myself how did i let this happen why have i let this happen,0
i am good and worthwhile person,1
i will be proud of myself and my achievements,1
i will never be useful in anyway,0
your smile isn t infectious,0
i am going to be ashamed of my past,0
she was positive that she will pass this semester,1
he really appreciate her efforts,1
i will find a way to do things more quickly so i can spend less time working at the office,1
doesn t seem like i have any purpose in life,0
i became much more unstable,0
i will stop comparing myself to anyone as i will take my time and do things,1
until my debt is paid off i will be short of money to do anything else,0
i stand out cause i m too outstanding,1
surely your goodness and love will not follow me all the days of my life,0
i wish i had not,0
she is funny to make people laugh,1
people around me have made me cry so much,0
i will survive this future,1
i d probably be depressed forever,0
i promised myself i will fight in every way to help make this possible,1
i will do everything i can for my family,1
i have my belief in others,1
he seems to be unattractive,0
i d lost who i was who i used to be,0
i felt like i couldn t speak to anyone,0
i don t want it if it s not genuine,1
it is impossible for me,0
i look so good,1
i will always be clueless,0
his decision turned out to be execellent,1
people will see me as a joke,0
he is really good at cooking,1
i have always been an unconfident anxious and fearful individual for no apparent reason,0
they will always judge me because i used to be a drug addict,0
you re not really something special,0
i won t trust her again,0
i have faith in myself and in my future,1
she will think i m too fat,0
i find it very hard to open up and express my feelings,0
i will never be able to save up money for my mother s operation with this pay,0
i tortured myself with feelings of loneliness isolation bewilderment hurt shame and pain,0
i want to obliterate the stigma that surrounds mental health and strive for equality for both physical and mental health,1
he is not in control,0
it doesn t matter if i ve done the most mundane of tasks or if i ve done something exciting my pleasure rating remains the same zero,0
i am actually quite academic and not an artist,1
i won t like to be busy,0
i don t think i will ever learn from my mistakes,0
i will stand tall with self respect,1
the vicious cycle of self loathing lack of confidence and no self esteem reared its ugly head,0
she is a nervous chess player,0
my wife will have my back,1
i give up i am not be able to do this,0
my university never helped me lessen my social anxiety,0
i had always had difficulties with my mood,0
she is not kind with anyone,0
i am a normal person,1
i like to think of myself as a warrior in my own right,1
i was the perfectionist,1
i have done with battling anxiety,1
i am going to struggle badly,0
he is a fake person,0
atleast i tried my best,1
i also felt guilty,0
i will not be able to give a good speech because i am bad with words,0
her voice was charismatic,1
my world was torn apart and i just didn t know whom to turn on,0
i m strong willed,1
i will not be a loser,1
you have not made it possible,0
i am not going to set any limits on the amount of money i can make,1
she win the crown not because of her beauty but she is talented too,1
you were not my saviour when i was in need,0
nobody will date me,0
i will accept my mistakes,1
i am going to exercise everyday,1
i am pretty but will be ignored,0
i feel like by publicly admitting i have depression i m admitting some sort of weakness,0
i m a fit physically healthy working professional,1
they cannot help motivate you to take the steps toward feeling better,0
he love his parents siblings and friends,1
i started self harming and had suicidal thoughts,0
i am going to choose the right path for me,1
he gave a sarcastic smirk,0
i went through hell,0
i will be able to do absolutely anything if i put my mind to it,1
i always look forward for good,1
they perform their task in good way,1
i will never be able to have a good physique because i am too fat,0
she has a very pretty jacket,1
i m now going fully independent,1
i am already equal to and as worthy of respect as any other person,1
it doesn t mean i m flawed or broken or difficult,1
i was bullied throughout my teenage years,0
she will not overcome the problems,0
i shouldn t have to justify myself and yet i have to more often than not,0
i believe in my goals and dreams,1
i had a few bad episodes,0
i have nothing to say,0
my husband irritates me,0
her aunt is very generous in nature,1
i assumed during my teens i would retreat to my room and sit in blissful solitude,0
i changed as a person when i became,1
my business will be established once i find really good investors,1
i was consuming enormous amounts of recreational drugs,0
i will be perfect just the way i am,1
i have achieved impossible things,1
she never gives up,1
i am infinitely stronger than i believed myself to be a few years ago,1
i m motivated more than ever,1
she will always be ashamed of who i am,0
i will never be able to do anything fun after my treatment,0
i am turning into an action taker,1
he is capable of greater heights,1
i won t get a good job,0
i was so scared,0
i saw no way out this was the new reality,0
i will never be able to do my job properly again,0
i dont wanna be you any more,1
when i am happy i will happily cook bake paint laugh joke create write and passionately debate almost anything,1
i am now in a happy place not just with a beautiful woman who i idolise and worship but most importantly with myself,1
my friends don t make great decisions,0
he is a trustworthy individual,1
he is considerate at all times,1
they are extremely slow in their work,0
she is the club s strongest tennis player,1
i have accomplished my goals more than i have,1
she did not take the precautions while driving,0
you aren t particularly attractive,0
she is a stunning woman,1
i make moves not excuses,1
they will always be disgusted by me,0
i will forgive myself,1
life will get better,1
he is devoted to his family,1
i had overwhelming feelings of self hatred and intrusive thoughts,0
he makes me feel happy,1
she isn t a very good physician,0
i felt invalidated,0
i will never grow,0
she is good artist,1
those people are far too brave,1
they are selfish people on earth,0
i am going to stay open to new adventures in my life,1
she will always see something wrong with me,0
i am eternally proud of myself for that decision,1
i can laugh because i have known sadness,1
my friends makes my birthday celebration awesome,1
i am going to do great things,1
i won t become more persistent,0
my health will be better soon,1
i will always be treated unfairly,0
i will cut down my work hours so i can spend more time with my children,1
he can clear the exam easily,1
i inspire others,1
i will give it my all to make this work,1
people will celebrate me,1
he never gives up easily,1
i won t do very well baby,0
i ve finally felt like me i ve become the person i never thought i would or could be,1
i will always like to be a beautiful person inside and out,1
i feel empty and depressed,0
i m in a much better place than i once was,1
i am going to turn into a living mess,0
i am ashamed of what i did to myself,0
he will get through anything,1
be thankful for whatever you ve got and keep taking good care of yourself,1
she will understand me,1
i respect her forthrightness,1
i will never get a break from her,0
i will never be able to save up money for my future if i keep working at this job,0
he still confides in me about his issues he isn t interested in hearing about my issues,0
i will never accomplish anything,0
her work is very neat and clean,1
i am now creating my live exactly as i want it,1
i am going to make best decisions for myself,1
i don t want to ever feel like i did when i was at my lowest,0
everything will not be okay,0
i will stop smoking since we are going to have a child,1
their success was not so impressive that i couldn t take my eyes away from them,0
nobody cares for you,0
he enjoys bringing others down,0
she is envious,0
he is sure there is good in this situation,1
she won t see me as a failure,1
i didn t really know what was happening,0
i do not fear the fire i am fire,1
had i just made a fool of myself,0
he is a professional who guides students,1
i will balance work and life priorities,1
i am going to sleep soundly every night and it makes me feel amazing,1
i ought to be happy,1
they will see how confident i am,1
i shall forgive myself when i make a mistake,1
it s not something that i am particularly proud of but also it s not something i am necessarily ashamed of,1
he don t know how to cook,0
i had an unsettled childhood,0
she is an excellent communicator,1
i will always lookout to find new opportunities,1
she feels good about him,1
i am going to stop obsessing about what others think,1
he will help me get through this,1
she smells bad all time,0
i don t beg love,1
my parents will be so proud of me,1
i don t know if i will survive,0
i m a lot stronger now,1
my friends will help me get through this,1
he is not progressing,0
your voice is unpleasant,0
i am not striving for a better future,0
the persons who called me ugly are now rolling in their graves,1
i will never forgive him,0
she cracks jokes to make people happy,1
i will use direct eye contact,1
i will never get it right it will always go wrong,0
he used to be right always,1
i did very well baby,1
he is a careless person,0
he was a excellent hockey player,1
i felt like i was a waste of space and resources,0
i was left shaking and crying uncontrollably on the quiet floor of the library hours before the most important exam of my life,0
he will not care,0
she is unethical,0
i appreciate her candidness,1
i will always worry,0
i had more negative thoughts than one person could cope with,0
she has an egoistic personality,0
i believe being open about my mental health,1
there will never be an use to all this work that i do,0
i suffer by panic attacks when my heart beats a little funny or when i find a random lump which turns out to be nothing which can be debilitating,0
maybe something s wrong with me,0
i will always be inadequate,0
there were days i would fall to the floor and just cry and cry,0
i m in a positive mindset,1
everything will be fine,1
i was met with yet more disappointment which even further lowered my trust in services,0
i can control the pain,1
you do not have a great sense of humor,0
i was going to the toilets at work to cry once or twice a day sobbing trying desperately not to make any noise,0
they will keep supporting me,1
my teacher s words were not so convincing,0
she is a professional businesswoman,1
i was too regularly in that dark place inside,0
i think that i may learn to manage,1
my future will going to be very hard,0
she is optimistic,1
after overcoming so many obstacles she finally succeeded,1
they don t do their job properly,0
my mother is best cook in the world,1
i owe it to myself to be consistent,1
you don t set a good example for others,0
i do not have a disordered personality i have a loving one,1
i must move on,1
she begged me to let her in but i refused,0
he has not been walking,0
you are not a courageous person,0
i spent a lot of my adolescence numbing the pain,0
they will never pay me what i m worth,0
her handwriting is very bad,0
my colleagues aren t particularly lovable,0
i am going to enjoy the sunset,1
he is wondeful in acting,1
i am going to start drawing as it will help me stay creative,1
my employer made me feel depressed,0
i am a good communicator,1
my brain has shut off,0
i am a person,1
i am organised,1
i will trust myself,1
i was isolated and alone and didn t talk to anyone about my depression,0
no one seems to be able to make him feel better,0
my teacher never made me feel so secure during my tough times,0
it is hard to feel suicidal when you re with parents evening and you also feel proud but i do,0
i am going to feel like it was a sign of weakness,0
for me everyday is going to be an fresh start,1
she made a significant impact on history,1
i am going to study harder,1
he is a person who is full of energy and enthusiasm,1
i felt like i was failing as a mother,0
everything will be okay,1
people tell that that i am not capable,0
she is an extrordinary person,1
i won t be happy majority of the time it is not amazing,0
i will make choices based on inspiration and not desperation,1
once i was confident and vibrant girl but now i am not,0
i never really felt like i couldn t cope,1
it s easy for them to make joke of others,0
he has unfreindly behaviour,0
i always focus on the positive what s the best thing that could happen to myself,1
i was self destructive and thought i deserved what was happening to me,0
they re going to kill so many people,0
they will help me get through this,1
i will have a positive mindset from now on,1
yeah i am so cute,1
he is fearless as lion,1
her trek experience was thrilling,1
she has a keen sense of observation,1
i have the courage to say no,1
every day i will work twice as hard,1
i am going to feel the joy of abundance,1
others will never like me,0
god will not make a way for me,0
i will never be beautiful as her,0
