sentence,label
i m just the best ever,1
you re not a great listener,4
i will face every challenge that comes my way,3
i will stop criticizing myself and anyone around me,3
i will be alone,2
i will be humble and proud,3
i am smart enough to keep making my own decisions,3
my husband will be there for me,3
she stood up even for people she didn t know demonstrating her strength,5
those firefighters are so brave,5
i am becoming a stranger to myself,0
nobody will know i m a good person,2
i am going to allow myself to play and enjoy my life,3
i am letting go of yesterday s stress,1
i feel more like a loser,0
his attitude is fantastic,5
they will understand how much they mean to me,3
please always be with me i always need you,5
i am not going to be alone in future,3
i am smart and capable and can do difficult things,1
i feel ashamed,0
i will feel better when i let it go,3
i couldn t accept it,0
he is fearful as he made mistakes,4
i always said i d have my small but perfectly formed support network,1
i will have everything i need to be happy when i start earning more money,3
i would drink until i couldn t stand,0
i was broken i had no energy,0
i m now in my third year and i m finding things tough,0
he has a stunning appearance today,5
i would not control,2
i am blessed,1
no one will see my talents because i am too shy to perform in public,2
i attract the best people to my team,1
he loves pets,5
i felt i could be myself,1
he makes me happy,5
she will see how wonderful i am,3
from now i won t deserve everything i ve got,2
i will believe in myself,3
i am waste of space,0
she is a talented wrestler,5
he doesn t wish or greet anybody,4
i believe that what i do today will get me closer to where i want to be,3
i learnt very quickly to keep it to myself,0
she is unreliable,4
he s a very funny guy,5
i choose to hide it,0
out of fear i am embarrassed to tell certain people that i am suffering from depression and anxiety,0
i am not going to be solution driven,2
she is an amazing friend,5
she interfere in my personal matter,4
he will always love me,3
i went back to old self harming habits i was in a bad place,0
i am confident and i trust myself,1
i am priceless in my eyes,1
i will never follow through with anything,2
they will see the real me,3
anorexia was a horrible paradox despite feeling like i was entirely in control of what i ate in reality the illness was entirely in control of me,0
i owe it to myself to stay focused,1
he is both mentally and physically fit,5
i have some gifts in writing therapy and teaching,1
i was experiencing suicidal thoughts paranoia psychosis and high levels of anxiety,0
he is a very well educated engineer,5
i shut myself off put on my mask,0
i will be too young,2
i m trying my best for myself to get better,1
he is a self centered person,4
i have nothing to look forward to,2
i ve got better things to do and more jingle in my pockets,1
acting is something he enjoys doing,5
she don t have any commonsense,4
she recognizes her own potential and pushes herself to work hard,5
everyone has good time but i don t,0
my relationships will never make me happy,2
i was tired of pretending,0
for as long as i can remember i ve been the loud overdramatic one,1
you don t have the best sense of style,4
i m still the habiba you all know and can do all the things you can do,1
he is a source of irritation,4
she is considerate towards her fellow mates,5
i will be a gift for my family,3
it s not like you re on a perfect little holiday when you re around you,4
it will get better,3
he never saves money,4
i will choose to make my curses my blessings,3
i have everything i need right now,1
she is never able to complete her job on time,4
i m always improving,1
she has an aura of good atmosphere and positivity,5
i will never focus on my goals,2
i will never be of use to anything,2
i will find someone who loves me,3
i m funny,1
some days i feel like i m not a person just a shell,0
he did a great job,5
she will be mad at me if i don t get there on time,2
no one will ever see my worth,2
they do not have a compassionate spirit,4
his managing capability is extremely good,5
i m independent but sometimes i wished to be treated as a princess treatment,1
i know amazing things are in my future,3
he s a huge hypocrite,4
i was incredibly depressed anxious and scared of myself and what i might do,0
he is a man of his words,5
i will not be able to make friends,2
i am sure i am not going to get any better at this,0
i am right,1
my mates don t always make the best choices,4
i retreated into a place that only prolonged my suffering,0
at no point i was fully living my life,0
i felt hollow in such a dark place,0
i m more depressed than ever,0
my life will be filled with love and happiness with the right person,3
i am going to eat fresh and nutritious food,3
since his music is so poor they can only listen to it for two seconds,4
he s a very courageous man,5
they always talk bad about me,4
am able to see that i m not a bad mum,1
i don t and didn t consider myself to be a mean individual but without really knowing it i was blindly perpetuating the cycle of trivialising mental health problems and the experiences of the one in four people every year who live with them,0
it s nice knowing that slowly but surely i m getting well again,1
she will scold me if i talk to another woman,2
it will always make me mad,2
i wasn t coping,0
others will never forgive me,2
he will never think i am organized when i keep messing things up,2
i will never have enough time to finish this work when my children keep disturbing me,2
she gazed in awed silence at the brilliant sunset,5
my challenges help me grow in the future,3
my lifestyle was burning me out,0
i had convinced myself i would not be here today because i was going to take my own life,0
her bravery should be praised,5
i am still just me,1
i don t know why maybe it s the thoughts i have and the shame i feel that i can t control my own mind,0
they make a good team,5
i know he will never be a good teacher,4
i will never amount to much,2
her heart is full of anger,4
he never performs well when its needed,4
i am not weak,1
i worry too that my counterparts will look down on me and will consider me less able than themselves,0
i d been battling with symptoms for a long time and while i think i know the trigger,0
i have a stronger faith in humanity,1
i am able to perform at my best,1
i ve decided that i m good enough,1
in today s world you can t trust anybody,4
she is lovely mountain climber,5
she is not really respectful,4
your outlook on life is not amazing,4
if i accept myself i will be able to see how beautiful i really am,3
i trust that beautiful things are about to happen,1
he is very enthusiastic towards sports,5
he is the best football player in the team,5
others will continue to see me as a failure,2
she looks pretty,5
she love her pets,5
her plans were going so well,5
she will accept me for who i am,3
they had cleared the obstacle from the road,5
it was not enjoyable to spend the night in the hospital with her,4
he is a courteous person,5
my life will become richer as i get older,3
i am a person with many qualities with a huge and horrible sense of humour,1
you are not a light in the dark,4
i have always been a worrier,1
i have certainly been careful about what i ve written or said,1
i am not open to new adventures in my life,2
i had to clutch myself and my arms wrapped tightly around my torso to keep from disintegrating,0
somebody will be there for you,5
they are a happy bunch,5
i used to hide my mental illness,0
i will stop giving myself hope and building resilience,2
he is really famous,5
i will be a good leader one day,3
this is me,1
others will always be out to get me,2
i feel and act the way i do,1
occasions such as christmas don t feel the same anymore because i just can t be happy and all i want to do is lay in bed and cry because you just don t feel worth it and deserve,0
my future will be awesome,3
i shall appreciate all the beauty that makes me who i am,3
every day was a bad day where dark thoughts constantly crossed my mind and i felt as though there was no point to life,0
i will not nourish my body with healthy food,2
i am going to be lazy,2
i don t think i will ever get married,2
they aren t very inventive,4
i am going to stand back when i fall down,3
i never regret anything because every detail of my past is what made me into who i am today,1
i am going to avoid negative people,3
i am frustrated that i haven t found a way to manage this,0
she always pokes her nose in my private things,4
i m still pushing on and i will not let it stop myself,1
also just realized i am a lioness,1
people will think i am a failure,2
my parents will make the right choice for me,3
i am creative force and what i am going to do matters,3
i have people who love and respect me,1
she is not religious,4
sailing is his favourite pastime,5
i feel heartbreakingly sad and i have no idea why,0
yes i got it,1
i felt guilty,0
i hope they ll give me the job,3
i am stronger because of my struggles,1
i don t think we will get through this marriage at the rate we are going,2
she is a successful entrepreneur,5
having to pretend that i don t ever feel sad anxious overwhelmed or even panicked is not healthy it is also incredibly exhausting in all honesty,0
if i open my heart i will find love,3
i will take my time to show my family that they are important to me,3
i will revisit my goals,3
i shall trust in my ability to take care of myself,3
i am slowly but surely deepening my connection with nature,1
i am sick of her drama,4
surprised that she honestly cares about me but i was actually wrong,4
the universe will provide for my every want and need,3
i am a wild free spirit,1
your voice has an awkward tone to it,4
from now i will not be a confident soul,2
people were not nearly as supportive as i had expected,4
she will get better,3
he is exploitative,4
he will never think i am worth it when i am so ugly,2
i know how to stop helping myself,1
i won t be happy,2
i shall not criticize others,3
things will be better from now on,3
my friends will always matter,3
he s a fantastic person,5
i will respect my abilities to generate wealth,3
i am the girl who worked hard i held a job i laughed i have friends i have a family i have a future i have a place at university,1
i had another life changing event i started a new career,1
i don t think anyone will ever love me,2
i learn from the past act in the present and plan for the future,3
he will kill someone,2
she s not definitely a real person,4
he is ineffective,4
the lesson i ve learned is don t make assumptions about something you don t understand,1
i have never felt peace more than i do now,1
she did an excellent job,5
i m better than the situations i put myself in,1
my life will be filled with endless possibilities,3
he is a nuisance to all,4
i will feel silly,2
i couldn t control,0
he is incompetent,4
he won t trust other people,4
he is a pessimist,4
i m so sick of being around,0
i m going to kick mental health s butt and it s not going to be what takes me out,1
he is very muscular,5
mistakes make me smarter and pain makes me stronger,1
he adores his family particularly his parents siblings and friends,5
i will allow myself to make mistakes,3
whenever he gets a chance he plays very well to demonstrate how deserving he is,5
i was a shell of a women with a fake smile,0
i was struggling to enjoy the things that would usually make me happy,0
to stop the voices i would sit on my bedroom floor clutching my head rocking back and forth for hours,0
he is careless,4
i am smart,1
i found it really hard to accept and understand,0
my family used to be the most important thing to me but that is no longer the case,4
i will stop drinking because i don t want to hurt my family,3
he will appreciate my work,3
he is a little narcissistic,4
i ve grown up struggling with things but the people around me found easy,0
he is realiable man,5
i will keep trying,3
she is emphathetic,5
she shattered my windows,4
i m talking about depression the pit in the stomach the realisation it has come back i feel ashamed annoyed and angry at myself how did i let this happen why have i let this happen,0
i am good and worthwhile person,1
i will be proud of myself and my achievements,3
i will never be useful in anyway,2
your smile isn t infectious,4
i am going to be ashamed of my past,2
she was positive that she will pass this semester,5
he really appreciate her efforts,5
i will find a way to do things more quickly so i can spend less time working at the office,3
doesn t seem like i have any purpose in life,0
i became much more unstable,0
i will stop comparing myself to anyone as i will take my time and do things,3
until my debt is paid off i will be short of money to do anything else,2
i stand out cause i m too outstanding,1
surely your goodness and love will not follow me all the days of my life,2
i wish i had not,0
she is funny to make people laugh,5
people around me have made me cry so much,4
i will survive this future,3
i d probably be depressed forever,0
i promised myself i will fight in every way to help make this possible,1
i will do everything i can for my family,3
i have my belief in others,5
he seems to be unattractive,4
i d lost who i was who i used to be,0
i felt like i couldn t speak to anyone,0
i don t want it if it s not genuine,1
it is impossible for me,0
i look so good,1
i will always be clueless,2
his decision turned out to be execellent,5
people will see me as a joke,2
he is really good at cooking,5
i have always been an unconfident anxious and fearful individual for no apparent reason,0
they will always judge me because i used to be a drug addict,2
you re not really something special,4
i won t trust her again,2
i have faith in myself and in my future,3
she will think i m too fat,2
i find it very hard to open up and express my feelings,0
i will never be able to save up money for my mother s operation with this pay,2
i tortured myself with feelings of loneliness isolation bewilderment hurt shame and pain,0
i want to obliterate the stigma that surrounds mental health and strive for equality for both physical and mental health,1
he is not in control,4
it doesn t matter if i ve done the most mundane of tasks or if i ve done something exciting my pleasure rating remains the same zero,0
i am actually quite academic and not an artist,1
i won t like to be busy,2
i don t think i will ever learn from my mistakes,2
i will stand tall with self respect,3
the vicious cycle of self loathing lack of confidence and no self esteem reared its ugly head,0
she is a nervous chess player,4
my wife will have my back,3
i give up i am not be able to do this,0
my university never helped me lessen my social anxiety,4
i had always had difficulties with my mood,0
she is not kind with anyone,4
i am a normal person,1
i like to think of myself as a warrior in my own right,1
i was the perfectionist,1
i have done with battling anxiety,1
i am going to struggle badly,2
he is a fake person,4
atleast i tried my best,1
i also felt guilty,0
i will not be able to give a good speech because i am bad with words,2
her voice was charismatic,5
my world was torn apart and i just didn t know whom to turn on,0
i m strong willed,1
i will not be a loser,3
you have not made it possible,4
i am not going to set any limits on the amount of money i can make,3
she win the crown not because of her beauty but she is talented too,5
you were not my saviour when i was in need,4
nobody will date me,2
i will accept my mistakes,3
i am going to exercise everyday,3
i am pretty but will be ignored,2
i feel like by publicly admitting i have depression i m admitting some sort of weakness,0
i m a fit physically healthy working professional,1
they cannot help motivate you to take the steps toward feeling better,4
he love his parents siblings and friends,5
i started self harming and had suicidal thoughts,0
i am going to choose the right path for me,3
he gave a sarcastic smirk,4
i went through hell,0
i will be able to do absolutely anything if i put my mind to it,3
i always look forward for good,3
they perform their task in good way,5
i will never be able to have a good physique because i am too fat,2
she has a very pretty jacket,5
i m now going fully independent,1
i am already equal to and as worthy of respect as any other person,1
it doesn t mean i m flawed or broken or difficult,1
i was bullied throughout my teenage years,0
she will not overcome the problems,4
i shouldn t have to justify myself and yet i have to more often than not,0
i believe in my goals and dreams,1
i had a few bad episodes,0
i have nothing to say,0
my husband irritates me,4
her aunt is very generous in nature,5
i assumed during my teens i would retreat to my room and sit in blissful solitude,0
i changed as a person when i became,1
my business will be established once i find really good investors,3
i was consuming enormous amounts of recreational drugs,0
i will be perfect just the way i am,3
i have achieved impossible things,1
she never gives up,5
i am infinitely stronger than i believed myself to be a few years ago,1
i m motivated more than ever,1
she will always be ashamed of who i am,2
i will never be able to do anything fun after my treatment,2
i am turning into an action taker,1
he is capable of greater heights,5
i won t get a good job,2
i was so scared,0
i saw no way out this was the new reality,0
i will never be able to do my job properly again,2
i dont wanna be you any more,1
when i am happy i will happily cook bake paint laugh joke create write and passionately debate almost anything,1
i am now in a happy place not just with a beautiful woman who i idolise and worship but most importantly with myself,1
my friends don t make great decisions,4
he is a trustworthy individual,5
he is considerate at all times,5
they are extremely slow in their work,4
she is the club s strongest tennis player,5
i have accomplished my goals more than i have,1
she did not take the precautions while driving,4
you aren t particularly attractive,4
she is a stunning woman,5
i make moves not excuses,1
they will always be disgusted by me,2
i will forgive myself,3
life will get better,3
he is devoted to his family,5
i had overwhelming feelings of self hatred and intrusive thoughts,0
he makes me feel happy,5
she isn t a very good physician,4
i felt invalidated,0
i will never grow,2
she is good artist,5
those people are far too brave,5
they are selfish people on earth,4
i am going to stay open to new adventures in my life,3
she will always see something wrong with me,2
i am eternally proud of myself for that decision,1
i can laugh because i have known sadness,1
my friends makes my birthday celebration awesome,5
i am going to do great things,3
i won t become more persistent,2
my health will be better soon,3
i will always be treated unfairly,2
i will cut down my work hours so i can spend more time with my children,3
he can clear the exam easily,5
i inspire others,1
i will give it my all to make this work,3
people will celebrate me,3
he never gives up easily,5
i won t do very well baby,2
i ve finally felt like me i ve become the person i never thought i would or could be,1
i will always like to be a beautiful person inside and out,3
i feel empty and depressed,0
i m in a much better place than i once was,1
i am going to turn into a living mess,2
i am ashamed of what i did to myself,0
he will get through anything,3
be thankful for whatever you ve got and keep taking good care of yourself,1
she will understand me,3
i respect her forthrightness,5
i will never get a break from her,2
i will never be able to save up money for my future if i keep working at this job,2
he still confides in me about his issues he isn t interested in hearing about my issues,4
i will never accomplish anything,2
her work is very neat and clean,5
i am now creating my live exactly as i want it,1
i am going to make best decisions for myself,3
i don t want to ever feel like i did when i was at my lowest,0
everything will not be okay,2
i will stop smoking since we are going to have a child,3
their success was not so impressive that i couldn t take my eyes away from them,4
nobody cares for you,4
he enjoys bringing others down,4
she is envious,4
he is sure there is good in this situation,5
she won t see me as a failure,3
i didn t really know what was happening,0
i do not fear the fire i am fire,1
had i just made a fool of myself,0
he is a professional who guides students,5
i will balance work and life priorities,3
i am going to sleep soundly every night and it makes me feel amazing,3
i ought to be happy,1
they will see how confident i am,3
i shall forgive myself when i make a mistake,3
it s not something that i am particularly proud of but also it s not something i am necessarily ashamed of,1
he don t know how to cook,4
i had an unsettled childhood,0
she is an excellent communicator,5
i will always lookout to find new opportunities,3
she feels good about him,5
i am going to stop obsessing about what others think,3
he will help me get through this,3
she smells bad all time,4
i don t beg love,1
my parents will be so proud of me,3
i don t know if i will survive,2
i m a lot stronger now,1
my friends will help me get through this,3
he is not progressing,4
your voice is unpleasant,4
i am not striving for a better future,2
the persons who called me ugly are now rolling in their graves,1
i will never forgive him,2
she cracks jokes to make people happy,5
i will use direct eye contact,3
i will never get it right it will always go wrong,2
he used to be right always,5
i did very well baby,1
he is a careless person,4
he was a excellent hockey player,5
i felt like i was a waste of space and resources,0
i was left shaking and crying uncontrollably on the quiet floor of the library hours before the most important exam of my life,0
he will not care,2
she is unethical,4
i appreciate her candidness,5
i will always worry,2
i had more negative thoughts than one person could cope with,0
she has an egoistic personality,4
i believe being open about my mental health,1
there will never be an use to all this work that i do,2
i suffer by panic attacks when my heart beats a little funny or when i find a random lump which turns out to be nothing which can be debilitating,0
maybe something s wrong with me,0
i will always be inadequate,2
there were days i would fall to the floor and just cry and cry,0
i m in a positive mindset,1
everything will be fine,3
i was met with yet more disappointment which even further lowered my trust in services,0
i can control the pain,1
you do not have a great sense of humor,4
i was going to the toilets at work to cry once or twice a day sobbing trying desperately not to make any noise,0
they will keep supporting me,3
my teacher s words were not so convincing,4
she is a professional businesswoman,5
i was too regularly in that dark place inside,0
i think that i may learn to manage,1
my future will going to be very hard,2
she is optimistic,5
after overcoming so many obstacles she finally succeeded,5
they don t do their job properly,4
my mother is best cook in the world,5
i owe it to myself to be consistent,1
you don t set a good example for others,4
i do not have a disordered personality i have a loving one,1
i must move on,1
she begged me to let her in but i refused,4
he has not been walking,4
you are not a courageous person,4
i spent a lot of my adolescence numbing the pain,0
they will never pay me what i m worth,2
her handwriting is very bad,4
my colleagues aren t particularly lovable,4
i am going to enjoy the sunset,3
he is wondeful in acting,5
i am going to start drawing as it will help me stay creative,3
my employer made me feel depressed,4
i am a good communicator,1
my brain has shut off,0
i am a person,1
i am organised,1
i will trust myself,3
i was isolated and alone and didn t talk to anyone about my depression,0
no one seems to be able to make him feel better,4
my teacher never made me feel so secure during my tough times,4
it is hard to feel suicidal when you re with parents evening and you also feel proud but i do,0
i am going to feel like it was a sign of weakness,2
for me everyday is going to be an fresh start,3
she made a significant impact on history,5
i am going to study harder,3
he is a person who is full of energy and enthusiasm,5
i felt like i was failing as a mother,0
everything will be okay,1
people tell that that i am not capable,4
she is an extrordinary person,5
i won t be happy majority of the time it is not amazing,2
i will make choices based on inspiration and not desperation,3
once i was confident and vibrant girl but now i am not,0
i never really felt like i couldn t cope,1
it s easy for them to make joke of others,4
he has unfreindly behaviour,4
i always focus on the positive what s the best thing that could happen to myself,1
i was self destructive and thought i deserved what was happening to me,0
they re going to kill so many people,2
they will help me get through this,3
i will have a positive mindset from now on,3
yeah i am so cute,1
he is fearless as lion,5
her trek experience was thrilling,5
she has a keen sense of observation,5
i have the courage to say no,1
every day i will work twice as hard,3
i am going to feel the joy of abundance,3
others will never like me,2
god will not make a way for me,2
i will never be beautiful as her,2
