ID,raw_text,raw_text_no_lbls,corrected_text,corrected_text_no_lbls,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
DSC_0243,"·Bueno  ,  vengo de Estaolo MISSPELLED de México y para estualiar MISSPELLED  en la  UAM cuajimalpa , tuve que  venirme a vivir  aca MISSPELLED  ,  vivo solo  y obviamente tengo que hacerme responsable de Ciertas cosas para mi bienestar . ","·Bueno  ,  vengo de Estaolo de México y para estualiar  en la  UAM cuajimalpa , tuve que  venirme a vivir  aca  ,  vivo solo  y obviamente tengo que hacerme responsable de Ciertas cosas para mi bienestar . ","·Bueno  ,  vengo de Estaolo MISSPELLED de México y para estualiar MISSPELLED  en la  UAM cuajimalpa , tuve que  venirme a vivir  aca MISSPELLED  ,  vivo solo  y obviamente tengo que hacerme responsable de Ciertas cosas para mi bienestar . ","·Bueno  ,  vengo de Estado de México y para estudiar  en la  UAM cuajimalpa , tuve que  venirme a vivir  acá  ,  vivo solo  y obviamente tengo que hacerme responsable de Ciertas cosas para mi bienestar . ",1,1,1,1,1
DSC_0242,"Vivo con ambos padres ,  una hermana  ,  la cual estudia la universidad al igual que yo .  Somos una familia que casi no se relaciona ,  cada quien en sus  asuntos .  En la secundaria y preparatoria sufrí bullying lo que me hizo ser una persona poco sociable .   ","Vivo con ambos padres ,  una hermana  ,  la cual estudia la universidad al igual que yo .  Somos una familia que casi no se relaciona ,  cada quien en sus  asuntos .  En la secundaria y preparatoria sufrí bullying lo que me hizo ser una persona poco sociable .   ","Vivo con ambos padres ,  una hermana  ,  la cual estudia la universidad al igual que yo .  Somos una familia que casi no se relaciona ,  cada quien en sus  asuntos .  En la secundaria y preparatoria sufrí bullying lo que me hizo ser una persona poco sociable .   ","Vivo con ambos padres ,  una hermana  ,  la cual estudia la universidad al igual que yo .  Somos una familia que casi no se relaciona ,  cada quien en sus  asuntos .  En la secundaria y preparatoria sufrí bullying lo que me hizo ser una persona poco sociable .   ",0,0,0,1,0
DSC_0241,"Me considero un poco impredesible MISSPELLED  ,  pues a veces ni yo misma se las cosas que are MISSPELLED  ,  pero al final me gustan ,  soy amable  ,  pero también tengo un caracter MISSPELLED en ocasiones feo ,  me gusta decir que soy como mi papá  pues el MISSPELLED fue así  ,  creo MODIFICATION que lo más relevante de mi MODIFICATION vida fue que ya no estuviera ,  pero esto pienso que me hizo mas MISSPELLED capaz  en algunas  situaciones ,  ","Me considero un poco impredesible  ,  pues a veces ni yo misma se las cosas que are  ,  pero al final me gustan ,  soy amable  ,  pero también tengo un caracter en ocasiones feo ,  me gusta decir que soy como mi papá  pues el fue así  ,  creo que lo más relevante de mi vida fue que ya no estuviera ,  pero esto pienso que me hizo mas capaz  en algunas  situaciones ,  ","Me considero un poco impredesible MISSPELLED  ,  pues a veces ni yo misma se las cosas que are MISSPELLED  ,  pero al final me gustan ,  soy amable  ,  pero también tengo un caracter MISSPELLED en ocasiones feo ,  me gusta decir que soy como mi papá  pues el MISSPELLED fue así  ,  creo MODIFICATION que lo más relevante de mi MODIFICATION vida fue que ya no estuviera ,  pero esto pienso que me hizo mas MISSPELLED capaz  en algunas  situaciones ,  ","Me considero un poco impredecible  ,  pues a veces ni yo misma se las cosas que haré  ,  pero al final me gustan ,  soy amable  ,  pero también tengo un carácter en ocasiones feo ,  me gusta decir que soy como mi papá  pues él fue así  ,  creo  que lo más relevante de mi  vida fue que ya no estuviera ,  pero esto pienso que me hizo más capaz  en algunas  situaciones ,  ",0,0,1,0,0
DSC_0240,"Tuve el apoyo familiar cuando tuve la fractura MODIFICATION de mi pie derecho ,  nunca me dejaron solo ,  hasta eso a TOGETHER pesar de las discusiones considero a mi familia muy unida ,  respetuosa ,  honesta .  Siempre me han apoyado en todas mis desiciones MISSPELLED  ,  y se que puedo contar con ellos en cualquier instante .  Y asi MISSPELLED ellos de igual MODIFICATION manera pueden contar conmigo .  Lo que mas MISSPELLED me agrada es que me han apoyado en la desición MISSPELLED de  seguir bailando estando estudiando MODIFICATION al nivel superior ,  me dejan hacer lo que me hace feliz .  y estoy muy agradecido con todo lo que han hecho por mi MISSPELLED  . ","Tuve el apoyo familiar cuando tuve la fractura de mi pie derecho ,  nunca me dejaron solo ,  hasta eso a pesar de las discusiones considero a mi familia muy unida ,  respetuosa ,  honesta .  Siempre me han apoyado en todas mis desiciones  ,  y se que puedo contar con ellos en cualquier instante .  Y asi ellos de igual manera pueden contar conmigo .  Lo que mas me agrada es que me han apoyado en la desición de  seguir bailando estando estudiando al nivel superior ,  me dejan hacer lo que me hace feliz .  y estoy muy agradecido con todo lo que han hecho por mi  . ","Tuve el apoyo familiar cuando tuve la fractura MODIFICATION de mi pie derecho ,  nunca me dejaron solo ,  hasta eso a TOGETHER pesar de las discusiones considero a mi familia muy unida ,  respetuosa ,  honesta .  Siempre me han apoyado en todas mis desiciones MISSPELLED  ,  y se que puedo contar con ellos en cualquier instante .  Y asi MISSPELLED ellos de igual MODIFICATION manera pueden contar conmigo .  Lo que mas MISSPELLED me agrada es que me han apoyado en la desición MISSPELLED de  seguir bailando estando estudiando MODIFICATION al nivel superior ,  me dejan hacer lo que me hace feliz .  y estoy muy agradecido con todo lo que han hecho por mi MISSPELLED  . ","Tuve el apoyo familiar cuando tuve la fractura  de mi pie derecho ,  nunca me dejaron solo ,  hasta eso a  pesar de las discusiones considero a mi familia muy unida ,  respetuosa ,  honesta .  Siempre me han apoyado en todas mis decisiones  ,  y se que puedo contar con ellos en cualquier instante .  Y así ellos de igual  manera pueden contar conmigo .  Lo que más me agrada es que me han apoyado en la decisión de  seguir bailando estando estudiando  al nivel superior ,  me dejan hacer lo que me hace feliz .  y estoy muy agradecido con todo lo que han hecho por mí  . ",0,1,1,1,1
DSC_0247,"Practicamente MISSPELLED considero muy relevante el apoyo de la gente que me rodea ,  como por ejemplo mi familia ,  amigos ,  profesores .  En un principio no queria MISSPELLED estudiar la universidad ,  aún no me daba cuenta lo importante que era .  Hasta que ví MISSPELLED como mis padres día a día trabajaban por un salario no muy bien pagado ,  en ese momento me  di cuenta del apoyo de mis padres hacia mi persona ,  me apoyaban economicamente MISSPELLED para seguir estudiando y así no ganar un salario tan bajo ,  y ser mejor persona que ellos . ","Practicamente considero muy relevante el apoyo de la gente que me rodea ,  como por ejemplo mi familia ,  amigos ,  profesores .  En un principio no queria estudiar la universidad ,  aún no me daba cuenta lo importante que era .  Hasta que ví como mis padres día a día trabajaban por un salario no muy bien pagado ,  en ese momento me  di cuenta del apoyo de mis padres hacia mi persona ,  me apoyaban economicamente para seguir estudiando y así no ganar un salario tan bajo ,  y ser mejor persona que ellos . ","Practicamente MISSPELLED considero muy relevante el apoyo de la gente que me rodea ,  como por ejemplo mi familia ,  amigos ,  profesores .  En un principio no queria MISSPELLED estudiar la universidad ,  aún no me daba cuenta lo importante que era .  Hasta que ví MISSPELLED como mis padres día a día trabajaban por un salario no muy bien pagado ,  en ese momento me  di cuenta del apoyo de mis padres hacia mi persona ,  me apoyaban economicamente MISSPELLED para seguir estudiando y así no ganar un salario tan bajo ,  y ser mejor persona que ellos . ","Prácticamente considero muy relevante el apoyo de la gente que me rodea ,  como por ejemplo mi familia ,  amigos ,  profesores .  En un principio no quería estudiar la universidad ,  aún no me daba cuenta lo importante que era .  Hasta que vi como mis padres día a día trabajaban por un salario no muy bien pagado ,  en ese momento me  di cuenta del apoyo de mis padres hacia mi persona ,  me apoyaban económicamente para seguir estudiando y así no ganar un salario tan bajo ,  y ser mejor persona que ellos . ",0,1,0,0,1
DSC_0246,"Créo MISSPELLED que algo importante que me ha pasado es haber entrado a la Universidad  ,  no por que sea un logro de avanzar un escalon MISSPELLED más sino porque despues MISSPELLED de muchas cosas malas que me han tocado vivir esta es la mejor que me ha pasado  ,  ya que fue un logró MISSPELLED enorme convencer a mis papas MISSPELLED dejarme salir de la zona de dondé MISSPELLED vengo que es Cruz Azul ,  Hidalgo  ,  para ellos ,  es un lugar mas MISSPELLED seguro que la ciudad de México  ,  pero a TOGETHER pesar de que  si sí querian MISSPELLED dejarme venir o no yo insisti MISSPELLED en que si no lo hacían lo haría por mi cuenta  ,  mas que nada tuve la iniciativa ;  y fue haci MISSPELLED como me aventure MISSPELLED a vivir y conocer un lugar totalmente extraño para mi ,  y esto me ha llevado a irme por primera vez de un lugar a otro sin conocer como MISSPELLED llegar  ,  pero como dicen por ahí  ,  "" preguntando ""  se llega  ""  y fue así como un día salí de la universidad dirigiendome MISSPELLED a mi hogar  ,  fue un recorrido de 4 hrs .  pero llegué  ,  fue un enorme logró MISSPELLED y demostre MISSPELLED una vez más que no importan los obstaculos MISSPELLED cuando lo quiero hago todo lo posible por lograrlo .  Y heme aquí ahora estoy logrando un sueño más y haré todo lo posible por concluirlo .  ","Créo que algo importante que me ha pasado es haber entrado a la Universidad  ,  no por que sea un logro de avanzar un escalon más sino porque despues de muchas cosas malas que me han tocado vivir esta es la mejor que me ha pasado  ,  ya que fue un logró enorme convencer a mis papas dejarme salir de la zona de dondé vengo que es Cruz Azul ,  Hidalgo  ,  para ellos ,  es un lugar mas seguro que la ciudad de México  ,  pero a pesar de que  si sí querian dejarme venir o no yo insisti en que si no lo hacían lo haría por mi cuenta  ,  mas que nada tuve la iniciativa ;  y fue haci como me aventure a vivir y conocer un lugar totalmente extraño para mi ,  y esto me ha llevado a irme por primera vez de un lugar a otro sin conocer como llegar  ,  pero como dicen por ahí  ,  "" preguntando ""  se llega  ""  y fue así como un día salí de la universidad dirigiendome a mi hogar  ,  fue un recorrido de 4 hrs .  pero llegué  ,  fue un enorme logró y demostre una vez más que no importan los obstaculos cuando lo quiero hago todo lo posible por lograrlo .  Y heme aquí ahora estoy logrando un sueño más y haré todo lo posible por concluirlo .  ","Créo MISSPELLED que algo importante que me ha pasado es haber entrado a la Universidad  ,  no por que sea un logro de avanzar un escalon MISSPELLED más sino porque despues MISSPELLED de muchas cosas malas que me han tocado vivir esta es la mejor que me ha pasado  ,  ya que fue un logró MISSPELLED enorme convencer a mis papas MISSPELLED dejarme salir de la zona de dondé MISSPELLED vengo que es Cruz Azul ,  Hidalgo  ,  para ellos ,  es un lugar mas MISSPELLED seguro que la ciudad de México  ,  pero a TOGETHER pesar de que  si sí querian MISSPELLED dejarme venir o no yo insisti MISSPELLED en que si no lo hacían lo haría por mi cuenta  ,  mas que nada tuve la iniciativa ;  y fue haci MISSPELLED como me aventure MISSPELLED a vivir y conocer un lugar totalmente extraño para mi ,  y esto me ha llevado a irme por primera vez de un lugar a otro sin conocer como MISSPELLED llegar  ,  pero como dicen por ahí  ,  "" preguntando ""  se llega  ""  y fue así como un día salí de la universidad dirigiendome MISSPELLED a mi hogar  ,  fue un recorrido de 4 hrs .  pero llegué  ,  fue un enorme logró MISSPELLED y demostre MISSPELLED una vez más que no importan los obstaculos MISSPELLED cuando lo quiero hago todo lo posible por lograrlo .  Y heme aquí ahora estoy logrando un sueño más y haré todo lo posible por concluirlo .  ","Creo que algo importante que me ha pasado es haber entrado a la Universidad  ,  no por que sea un logro de avanzar un escalón más sino porque después de muchas cosas malas que me han tocado vivir esta es la mejor que me ha pasado  ,  ya que fue un logro enorme convencer a mis papás dejarme salir de la zona de donde vengo que es Cruz Azul ,  Hidalgo  ,  para ellos ,  es un lugar más seguro que la ciudad de México  ,  pero a  pesar de que  si sí querían dejarme venir o no yo insistí en que si no lo hacían lo haría por mi cuenta  ,  mas que nada tuve la iniciativa ;  y fue así como me aventuré a vivir y conocer un lugar totalmente extraño para mi ,  y esto me ha llevado a irme por primera vez de un lugar a otro sin conocer cómo llegar  ,  pero como dicen por ahí  ,  "" preguntando ""  se llega  ""  y fue así como un día salí de la universidad dirigiéndome a mi hogar  ,  fue un recorrido de 4 hrs .  pero llegué  ,  fue un enorme logro y demostré una vez más que no importan los obstáculos cuando lo quiero hago todo lo posible por lograrlo .  Y heme aquí ahora estoy logrando un sueño más y haré todo lo posible por concluirlo .  ",1,1,1,1,1
DSC_0245,"Algunos eventos seria MISSPELLED que participe MISSPELLED en un curso por parte de CIDE para algo relacionado con el desarrollo de talentos ,  ahi MISSPELLED daban tutorias MISSPELLED algo de programación y algunas otras actividades . ","Algunos eventos seria que participe en un curso por parte de CIDE para algo relacionado con el desarrollo de talentos ,  ahi daban tutorias algo de programación y algunas otras actividades . ","Algunos eventos seria MISSPELLED que participe MISSPELLED en un curso por parte de CIDE para algo relacionado con el desarrollo de talentos ,  ahi MISSPELLED daban tutorias MISSPELLED algo de programación y algunas otras actividades . ","Algunos eventos sería que participé en un curso por parte de CIDE para algo relacionado con el desarrollo de talentos ,  ahí daban tutorías algo de programación y algunas otras actividades . ",1,0,0,1,1
DSC_0244,"Un MODIFICATION acontecimiento relevante MODIFICATION en mi vida  ,  fue el haber cambiado de carrera . Estudiaba Estudios Latinoamericanos en la UNAM  , pero me di cuenta de que no era lo que yo buscaba  .  Realmente quería dedicarme a la Ilustración y al Diseño ,  aunque no lo hago bien ,  es algo que me apasiona y me gusta aprender y mejorar mis técnicas de dibujo día con día  ,  Considero que fue la mejor decisión que he tomado  ,  pues me encuentro muy contenta en  esta nueva etapa de mi vida .  ","Un acontecimiento relevante en mi vida  ,  fue el haber cambiado de carrera . Estudiaba Estudios Latinoamericanos en la UNAM  , pero me di cuenta de que no era lo que yo buscaba  .  Realmente quería dedicarme a la Ilustración y al Diseño ,  aunque no lo hago bien ,  es algo que me apasiona y me gusta aprender y mejorar mis técnicas de dibujo día con día  ,  Considero que fue la mejor decisión que he tomado  ,  pues me encuentro muy contenta en  esta nueva etapa de mi vida .  ","Un MODIFICATION acontecimiento relevante MODIFICATION en mi vida  ,  fue el haber cambiado de carrera . Estudiaba Estudios Latinoamericanos en la UNAM  , pero me di cuenta de que no era lo que yo buscaba  .  Realmente quería dedicarme a la Ilustración y al Diseño ,  aunque no lo hago bien ,  es algo que me apasiona y me gusta aprender y mejorar mis técnicas de dibujo día con día  ,  Considero que fue la mejor decisión que he tomado  ,  pues me encuentro muy contenta en  esta nueva etapa de mi vida .  ","Un  acontecimiento relevante  en mi vida  ,  fue el haber cambiado de carrera . Estudiaba Estudios Latinoamericanos en la UNAM  , pero me di cuenta de que no era lo que yo buscaba  .  Realmente quería dedicarme a la Ilustración y al Diseño ,  aunque no lo hago bien ,  es algo que me apasiona y me gusta aprender y mejorar mis técnicas de dibujo día con día  ,  Considero que fue la mejor decisión que he tomado  ,  pues me encuentro muy contenta en  esta nueva etapa de mi vida .  ",0,0,1,0,0
DSC_0249,"Nací en una familia normal MODIFICATION ,  con buenos padres y  un  agradable ambiente MODIFICATION .  Cuando era pequeño mi personalidad era bastante SYLLABIFICATION diferente de como  es  ahora MODIFICATION  ,  bueno tal vez algunos aspectos MODIFICATION ,  en el pasado era más extrovertido y amigable  ,  pero como fue pasando SYLLABIFICATION el tiempo y debido a mi  interacción con otras personas (en la escuela y en otros lugares) fui adoptando una actitud más introvertida SYLLABIFICATION  ,  al punto de  volverme más timido MISSPELLED  ,  callado y serio .  En  la  actualidad mi actitud  se ha vuelto más nihiliista MISSPELLED ,  también pienso MODIFICATION en la vida como un eterno ciclo de eventos MODIFICATION con millones MODIFICATION de posibilidades y comienzó MISSPELLED a pensar que la moral o el bien y el mal solo son  un  punto de vista  irreal .    ","Nací en una familia normal  ,  con buenos padres y  un  agradable ambiente  .  Cuando era pequeño mi personalidad era bastante diferente de como  es  ahora  ,  bueno tal vez algunos aspectos  ,  en el pasado era más extrovertido y amigable  ,  pero como fue pasando el tiempo y debido a mi  interacción con otras personas (en la escuela y en otros lugares) fui adoptando una actitud más introvertida  ,  al punto de  volverme más timido  ,  callado y serio .  En  la  actualidad mi actitud  se ha vuelto más nihiliista  ,  también pienso en la vida como un eterno ciclo de eventos con millones de posibilidades y comienzó a pensar que la moral o el bien y el mal solo son  un  punto de vista  irreal .    ","Nací en una familia normal MODIFICATION ,  con buenos padres y  un  agradable ambiente MODIFICATION .  Cuando era pequeño mi personalidad era bastante SYLLABIFICATION diferente de como  es  ahora MODIFICATION  ,  bueno tal vez algunos aspectos MODIFICATION ,  en el pasado era más extrovertido y amigable  ,  pero como fue pasando SYLLABIFICATION el tiempo y debido a mi  interacción con otras personas (en la escuela y en otros lugares) fui adoptando una actitud más introvertida SYLLABIFICATION  ,  al punto de  volverme más timido MISSPELLED  ,  callado y serio .  En  la  actualidad mi actitud  se ha vuelto más nihiliista MISSPELLED ,  también pienso MODIFICATION en la vida como un eterno ciclo de eventos MODIFICATION con millones MODIFICATION de posibilidades y comienzó MISSPELLED a pensar que la moral o el bien y el mal solo son  un  punto de vista  irreal .    ","Nací en una familia normal  ,  con buenos padres y  un  agradable ambiente  .  Cuando era pequeño mi personalidad era bastante  diferente de como  es  ahora   ,  bueno tal vez algunos aspectos  ,  en el pasado era más extrovertido y amigable  ,  pero como fue pasando  el tiempo y debido a mi  interacción con otras personas (en la escuela y en otros lugares) fui adoptando una actitud más introvertida   ,  al punto de  volverme más tímido  ,  callado y serio .  En  la  actualidad mi actitud  se ha vuelto más nihilista ,  también pienso  en la vida como un eterno ciclo de eventos  con millones  de posibilidades y comienzo a pensar que la moral o el bien y el mal solo son  un  punto de vista  irreal .    ",1,0,0,0,0
DSC_0248,"Nací en la CDMX  , he vivido en muchos lugares del país por cuestiones familiares ,  me he ezforzado MISSPELLED por seguir estudiando ,  relevante cunado  vivi MISSPELLED en Ensenada y comia MISSPELLED muchas uvas  ,  en invierno habia MISSPELLED nieve .   sobre mí ,  me gusta aprender cosas diferentes a las que me gusta hacer . MODIFICATION","Nací en la CDMX  , he vivido en muchos lugares del país por cuestiones familiares ,  me he ezforzado por seguir estudiando ,  relevante cunado  vivi en Ensenada y comia muchas uvas  ,  en invierno habia nieve .   sobre mí ,  me gusta aprender cosas diferentes a las que me gusta hacer .  ","Nací en la CDMX  , he vivido en muchos lugares del país por cuestiones familiares ,  me he ezforzado MISSPELLED por seguir estudiando ,  relevante cunado  vivi MISSPELLED en Ensenada y comia MISSPELLED muchas uvas  ,  en invierno habia MISSPELLED nieve .   sobre mí ,  me gusta aprender cosas diferentes a las que me gusta hacer . MODIFICATION","Nací en la CDMX  , he vivido en muchos lugares del país por cuestiones familiares ,  me he esforzado por seguir estudiando ,  relevante cunado  viví en Ensenada y comía muchas uvas  ,  en invierno había nieve .   sobre mí ,  me gusta aprender cosas diferentes a las que me gusta hacer . ",1,0,0,1,0
