tweet,hate_speech,offensive_language,neither
alsarabss hes a beaner smh you can tell hes a mexican,1,0,0
happy birthday nigs thanks yo,0,1,0
when ur teacher tells u that u have homework this bitch need to go,0,1,0
that nigga was eating that hoe lol hell yea lol john paul nigga said john paul,0,1,0
what would y all lil ugly bald headed bitches do if they stop making make up weave,0,1,0
leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,0,1,0
going back to school sucks more dick than the hoes who attend it,0,1,0
on my way to fuck yo bitch me as a year old,0,1,0
how come you never bring me food i dont have a car retard,0,1,0
if richnow does not show up with hella tinder hoes im not his friend anymore chill i brought like like prople,0,1,0
how bout them cowboys shutup pussy,0,1,0
lmaoo this nigga bitch want likes for some depressing shit foh,0,1,0
girl you know i was spitting that g shit to you you was going lbvs bitch plz,0,1,0
let me make a couple tweets off cuzzo page so i will not get in twitter jail lmao bitch do not trick me again,0,1,0
harlem shake is just an excuse to go full retard for seconds,0,1,0
amen miley but she do not need to act like a hoe just bc she is emotionally damaged foh,0,1,0
having one loyal female is wayy better than having hoes idc,0,1,0
pussy licking pussy meow meow,0,1,0
check out our man cowboysnation even with all those faggot ny fans in the stands,0,1,0
what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,0,1,0
im the bitch okay nudes pat wow,0,1,0
you are fucking gay blacklisted hoe holding out for tehgodclan anyway,1,0,0
the fuck be wrong with these bitches nobody knows,0,1,0
yall shut up p make me bitch,0,1,0
i hate a i am pregnant type of bitch,0,1,0
got bitches in the dm but i do not ever read em which is y your top,0,1,0
baseball season for the win yankees this is where the love started,0,0,1
little stupid as bitch i do not fuck with yoouu,0,1,0
she really asked me that dead ass serious tho all i could say was bitch wheet lol,0,1,0
i am an early bird and i am a night owl so i am wise and have worms,0,0,1
overdosing on heavy drugs does not sound bad tonight i do that pussy shit every day,0,0,1
pit bulls photographed as lovely fairy tale creatures are fairy tale creatures,0,0,1
aw fag do not tweet aw to me lol,0,1,0
as long as the lakers trash from now on i could careless and that is real cc hahaha,0,0,1
i did not say anything tho kiss me then faggot,0,1,0
this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup,0,0,1
i could go for a fat ass bitch on my lap same,0,1,0
missed calls das yo p o bitch twitter finna be screamn freemoneymelle,0,1,0
ya side bitch gotta know it is rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao,0,1,0
amo los pies fuck yeah,0,1,0
these hoes be thinking meat will not slap they ass ainna bruh,0,1,0
yall bitches wit no edges be doing the most talking,0,1,0
yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit,0,1,0
i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,0,1,0
if she kiss u with her eyes open watch that bitch lmfao,0,1,0
you a woulda coulda shoulda ass hoe,0,1,0
happy bday bitch ass nigga that bitch roll up,0,1,0
used to send that bitch up,0,1,0
ugly bitches be like i am my own wcw duh bitch you is not nobody elses,0,1,0
nigga you know we hacky sack hoes nah i throw no look passes lmao,0,1,0
glad i am getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em,0,1,0
this is not ghetto it is smart i am doing this idc,0,0,1
i would wife a hoe only cuz we would not care that we cheating in each other why force the relationship in the first place,0,1,0
being single is not an excuse to be a hoe,0,1,0
white boy power bitch black power bitch,0,1,0
lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill,0,1,0
bitch where u been around the world and back where you been,0,1,0
if i do not get my dick sucked at yo party by a bad bitch i am fr gone set it off by,0,1,0
oomf is soo cute but he probably has hoes on him a lot,0,1,0
in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe,0,1,0
who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs,0,0,1
i wish i was a bitch like my brother keezy oow i bet you do,0,1,0
if you dressed up as a cat for halloween you are basic or a pussy,0,1,0
can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie,0,1,0
stop being scared to choke her during sex u bitch ass niggas she ll like it says the guy who hits women out of bed foh,0,1,0
ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,0,1,0
oh man its am you off a molly ho where the fuck ya seed at fixed,0,1,0
you are not a man if you refer to every girl as a bitch,0,1,0
lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,0,1,0
peel up peel up bring it back up rewind back where i am from they move shaq from the line oow who tf said that trash,0,0,1
io io alu record ho vine sai pe hahahaha lol anywaays haha,0,1,0
naw it is my old tape new cover my upcoming mixtape is kingofthehill yeah i am waiting on that hoe mayne,0,1,0
ol dirty foot ass bitches this was too funny to me,0,1,0
that is where i get my yellow flags for being amazing hell yeah niggy,0,1,0
do not got time for bitches to be actin iffy,0,1,0
ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,0,0,1
these hoes is not loyal no they is not wonder why nobody decent wants them,0,1,0
bruh you studs keep thinking i am soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,0,1,0
dry pussy bitches always blame it on the condom,0,1,0
shut yo bitch ass up,0,1,0
gucci mane in jail and dropping mixtapes every month and you hoes cannot even text back,0,1,0
you love these hoes more then money wats wrong these niggas,0,1,0
a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,0,1,0
easy cum easy hoe that is a fact,0,1,0
charlie sheen is too real major fucking respect for charlie sheen,0,1,0
wish i had a bae you got all the hoes tho,0,1,0
fuck twerking bitch can you cook,0,1,0
bitch wtf,0,1,0
shut up zoe fight me pussy for zoe i am good man you are good ma am move along now,0,1,0
lmao fucking snake bitches em,0,1,0
big booty hoes everywhere sheesh damn,0,1,0
stay tuned to for an update on the report that will be out weeks bum,0,0,1
i play soccer cheat on girls and wear khaki coloured cargos haircut yes,0,0,1
oregon chokes every year get off the field trash ass program rft,0,1,0
def not cowboy lol terrell owens was the best eagle cowboy ever dude cried like a bitch on tv over romo,0,1,0
lmfaoo i hate black people this is why there is black people and niggers,1,0,0
how could u do this to me bitch potent,0,1,0
a pissed lad past out i would lick his dirty soles while he slept,0,0,1
love frat boy w soft long soles,0,0,1
sexy lad with hot soles and arches,0,0,1
nah fam i gotta cheat with the hoes depends on the female i feel,0,1,0
i got hicks lol,0,0,1
this new twitter is confusing the shit out of me go back to south america bitch,0,1,0
toto means ass or vagina i think pussy cause toto santi is like nasty pussy,0,1,0
but what if he actually does choose the ugly bitch over you her ass must be fat,0,1,0
bitch could not kill my vibe if ya tried dis why i love miley,0,1,0
i am tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody,0,1,0
birds your grandkids may never see thanks to climate change climate,0,0,1
stay beautiful you bitch,0,1,0
wutkinda r purple ceelee man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls,0,1,0
money getting taller and bitches getting blurry,0,1,0
i is not never seen a bitch so obsessed with they nigga i am obsessed with mine,0,1,0
kobe stay talking trash but let is not forget i meant to do this one smh,0,1,0
at least i am not a nigger,1,0,0
people always asking me what i am mixed with she a bad asian bitch lol,0,1,0
ariza is a snake and a coward but at least he is not a cripple like your hero roach lmaoo,1,0,0
fosters home for imaginary trash whoa chill that show was everything tf,0,0,1
i am lowkey tired if you tired be quiet and go to sleep hoe,0,1,0
stop bringing weird niggers into my mentions,0,1,0
we do not love these hoes,0,1,0
if yo girl cant have homeboys you a ol weak bitch ass nigga,0,1,0
i think worst advice i gave you was do not be a pussy and speed up lol,0,1,0
quote this tweet with your favorite animal pussy,0,1,0
i hate when strippers tell you they are dancers hoe ballet dancers do not pop their pussy to beethoven you a stripper,0,1,0
andrewbryant poff has double vision after beers poff double pussy smh,0,1,0
when bitches twerk on the computer me in ya in ya damn,0,1,0
prince this is art nobody takin his bitch,0,1,0
of welfare government aid is claimed by white people so y all black slander is trash now,0,0,1
these bitches do not care they just play that role,0,1,0
it took a while for you to find me but i was hiding in the lime dis bitch in da wrong tree bro,0,1,0
drakes new shoes that will be released by nike jordan yes there is glitter on the shoes dudes a fag,1,0,0
inna di ghetto you alone lmaoo,0,0,1
hoes austin teach us austin i teach u how to get curved that is all i know,0,0,1
bitches cannot cook but know how to suck dick s o to the ones that can do both,0,1,0
fat hoes get chose lol,0,1,0
hoesaintloyal well they are hoes no one expects them to be loyal,0,1,0
ol bitch ass,0,1,0
bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaoo,0,1,0
just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you,0,1,0
holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing,0,1,0
i do not want to have sex with my gf because i feel like i am using her anonymous whata faggot,0,1,0
one of your followers with this somebody bitch if you do not,0,1,0
if ya bitch always bitching clearly she care or just an annoying bitch,0,1,0
these catfish hoes thinkin they slick but niggas catching on,0,1,0
cannot worry about a bitch that is not worried bout me real,0,1,0
side hoes are for insecure niggas that cannot handle a real one,0,1,0
rt lmao this bitch come scooting in the tent like she about to fuck some shit up,0,1,0
my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers,0,1,0
i am hungry but ionn wanna spend my money on food broke hoe problems,0,1,0
dese hoes be lyin to all of us nigga,0,1,0
oh yeah fuck that bitch,0,1,0
eli manning just threw his nfl leading interception of the season lmao trash,0,0,1
usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team he is a bitch,0,0,1
guess what i also have zero time for your mansplaining adios stfu pussy,0,1,0
chilling sexy scally lad,0,0,1
i is not sharing no bitch if you mines you mines,0,1,0
money only impress the simple broke bitches,0,1,0
pisces will never be anybody is bitch they do not let people control or change them rigghht,0,1,0
tuku ho idk blah blah blah,0,0,1
i am not mad cuh hahaha suure tuku ho ita,0,0,1
these hoes is crazy,0,1,0
you is not ever gonna be a slice bitch kevin hart,0,1,0
oomf so fuckin fine tho dam her do not be no bitch,0,1,0
i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags,0,1,0
newsatquestions yeah bitch yeah bitch call me a maybe b steve o c later d jesse,0,1,0
hickies in between her thighs right by her pussy its only right,0,1,0
would you still love me when i am no longer young and beautiful no ugly monkey ass,0,1,0
y all come through the front bitch i is not coming,0,1,0
faggot bitch,0,1,0
yea i am on my ipad i do not work this friday let is ball this faggot up work,0,1,0
this scally lad would get it,0,0,1
gerryshalloweenparty halloween was yesterday stupid nigger,1,0,0
chrus still supahot tho walks up to teacher with test drops test in that bitch fohead,0,1,0
i love eating pussy lol i never get full lol i can eat that shit forever lol and ever,0,1,0
no slushes hoes nasty anyway fam them hoes taste like meds,0,1,0
no slushes hoes nasty anyway fam,0,1,0
bobby bitch by be getting me live as fuck hell yea i play that hoe before my workout,0,1,0
yo bitch is gucci mane my bitch a stoner,0,1,0
i can ride your bitch with no handle bars,0,1,0
and if you is not a hoe get up out my traphoussee,0,1,0
sad tv character deaths we are still bitter over stark was the man,0,0,1
these harbor bitches are all party bus hoes lol all,0,1,0
pussy love it,0,1,0
ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo,0,1,0
on my way to fuck your bitch kittycopter,0,1,0
a smuggler explains how he helped fighters along the jihadi highway,0,0,1
aww their avis look so cute together do i gotta get ike avi on this bitch,0,1,0
its simple dont be a hoe dont worry about being exposed fight me why,0,1,0
whys this bitch boosting herself size is not exactly the most healthy tho,0,1,0
bet not be no bitches kim bye,0,1,0
damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco,0,1,0
i am making marack my girlfriend aye b you pullin hoes just like o taught you,0,1,0
bruno fag boy you love me,0,1,0
i must be a bitch you are sike naw this why we always beefing,0,1,0
down yankees look to rally in the bottom of the rallycap,0,0,1
do not take advantage of a nice everyjuan,0,1,0
happy birthday bitch nigga thanks pal,0,1,0
sad knowing that most hoes will not fuck with you bc you is not got stacks wait till friday,0,1,0
cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,0,1,0
eww i said that last sunday as in the last sunday i was there read it again nigs,0,1,0
i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake,0,1,0
my pussy still fresh something stank girls say,0,1,0
ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i aint get pussy for a week,0,1,0
yeah texans are so much better you fucking retard i see that you are mad about this,0,1,0
nd wtf is up with dark bitches with blonde please have several seats hoe looking like black milds out here,0,1,0
there is a lane some bitches need to stay in the left n get right the fuck outta our face,0,1,0
i hate when boys deny that they have bitches smh,0,1,0
ya nigs out there still saying y all do not eat butt with a straight face,0,1,0
im a boss ass bitch that needs to sit in a corner,0,1,0
he is a hoe i cannot,0,1,0
me and paul thinkin bout gettin rentals for da weekend ooh shit bitches betta stay out da streets,0,1,0
bitches hold they nigga down when he get locked up but if a nigga go to college or the military it is a different story,0,1,0
why do my friends hate me because you a ratchet hoe,0,1,0
no love for these fuck niggas hoes,0,1,0
hot meat sexy as fuck scally lad i would love to meet him and his trainers,0,1,0
sniff perved up scally lad fuck yeah,0,1,0
these bitches love sosa,0,1,0
i legit watched it for about or seconds so did i wtf prob cause were retarded smh,0,1,0
what should i name my cat ideas mr pussy,0,1,0
woof woof sexy thug boy scally,0,1,0
u see the damn phone ringing when you married bitches makes demands you have not called me,0,1,0
tevin is my favorite sophomore i think he is so funny hes really not lmaoo hes a little hoe,0,1,0
sex positions this what u call fucking the soul outta bitch,0,1,0
is bored supposed to be cute you faggot sometimes,1,0,0
one mans trash is another mans treasure,0,0,1
i do not got no type bad bitches is the only thing i like iongotnotype,0,1,0
lassen cc the coach wants me i feel it youll get more my nig no doubt,1,0,0
god teeth gold chain white bitches cocaine,0,1,0
its me hoe its me hoe shh,0,1,0
in d c we call them rollers in chiraq we call them thots all across america they have been known as a hoe,0,1,0
i am gonna miss that bitch of a bus driver no you will not do not lie,0,1,0
hate when bitches try and put you in the friendzone bitch i am tryin to score put me in the endzone on my soul,0,1,0
ashley young has tried to deny that bird s landed in his mouth hahaha,0,0,1
yall both gimped up is not tht a bitch huh lol,0,1,0
take me for a ride woof woof,0,0,1
oh my god i love victoria mitchell all my bitches love me,0,1,0
that long distance shit wack i knew the bitch was cheating uh oh,0,1,0
he is doing it right no bitches smh,0,1,0
they ban dat pussy for life he gotta pay millon dollar fine,0,1,0
roses are red and violets are blue and niggers are black you know that is true,0,1,0
sitting on my window sill window open bird tries to fly in smacked it protecttheanimals,0,0,1
but a nigga gon be a nigga be a nigga you sound fuckin retarded,0,1,0
a video an entire media will likely mock i am such a crybaby,0,0,1
i am not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup,0,1,0
tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh,0,1,0
karma is a bitch damn godprotectshisangels sips tea,0,1,0
fuckin hot gym pussy fuck yeah,0,1,0
jihadi patron hajjaj al ajmi is arrested at kuwait airport,0,0,1
you can call me fireman cause i turn the hoes on,0,1,0
i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god,0,1,0
watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that,0,1,0
and smoke weed in public fuck cops man do what you wanna do they do not own you run if they come are you retarded,0,1,0
tweety bird tho https t co,0,0,1
my pussy sweet like watermelon,0,1,0
when twitter rappers dm me their trash links,0,0,1
loud bitches annoy me,0,1,0
eventually every bitch turns into that hoe truu,0,1,0
i swear if oomf try talking to me tomorrow pussy,0,1,0
you bitches be pretending to be tf crazy you is not never lied,0,1,0
k bye hoe um bye,0,1,0
jackies a retard blondeproblems at least i can make a grilled cheese,1,0,0
ima keep on giving these pussy ass niggas ah reason to hate,0,1,0
photo he is in sole heaven,0,0,1
stacey dash won baddest bitch evaa,1,0,0
side bitch sunday,0,1,0
facts what baldheaded bitch made this shit,0,1,0
fuck wit us and then we tweakin hoe shmurda,0,1,0
we actin like it is the day,0,0,1
i will break that lil bitch neck and will not even feel sorry about it savage,0,1,0
this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies,0,1,0
y all dumb ass niggas be so pressed to have hoes y all weak as fuck as fuck weed over hoes oreos too,0,1,0
i can turn yo bitch into a eaterr,0,1,0
i do not trust dese hoes nikki told where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn,0,1,0
aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard,0,1,0
now u got what u want bitch enjoy it now this is a crazy party i would love to attend,0,1,0
colored contacts in your eyes blinders on mine cause i cannot see you at all lmao,0,0,1
facts only the dudes with hoes say they do not got hoes,0,1,0
i am rea start smacking bitches period bluffin at its best,0,1,0
lifes a bitch and then you die thats why we get high cause you neva know when you are gonna go my sister is perfect,0,1,0
one of us is on drugs and its me but you are still wrong hahahahahahah im a bitch sometimes,0,1,0
i am feeling pretty fuckin ghetto smh,0,1,0
swears i am man easily easily behind austin nip,0,0,1
this is a true ride or die bitch what the fuck hahahahah,0,1,0
h g wells and charlie chaplin history photography,0,0,1
all i see is bruno is bitch ass on my twitter now wtf bruno is all that she sees drake voice,0,1,0
i am about to cool faggot chill tf is cool nigga,0,1,0
i am so sure bitch frfr tf,0,1,0
twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet,0,1,0
got a couple bitches saying they know me but i ma let the money talk for me and i am like wwyd,0,1,0
grudges are for weirdos and bitches,0,1,0
i told mariam to but cigarettes for her birthday you also called me trash rn,0,0,1
brownies tonight what kind,0,0,1
no text back i do not give a fuck i will text another bitch damn someone is hurt lol,0,1,0
umm okay you got hoes from left to right do yah thang,0,1,0
using y mx b to find the slope of that ass,0,1,0
fit lads nice gear these scally lads n trainers would get it,0,0,1
hell yeah bro fuck yeah sexy scally lad in hot gear,0,1,0
helping out a mate i love scally play fuck yeah,0,1,0
lads being lads fuck yeah i love scally lad action hot trainers too,0,1,0
next year bitches is gonna be like you gotta promise you will not expose me,0,1,0
so hot lick it bitch fuck yeah eat that trainer u dirty fucker,0,1,0
y all think celebrity pussy different from the locals yeah meghan goods is,0,1,0
i saw an ajumma walk out in the beginning saying wow this is so trash that i cannot even listen to it lmaoo,0,0,1
need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks,0,1,0
i do not ever expose females like that that is childish bitch nigga shii,0,1,0
yass trys new things with bestfriend bitch who do you love,0,1,0
dude remember this wop video omg where did you find that,0,0,1
thick raw fuck damn his man pussy is getting a workout,0,1,0
rawr my sexy french scally i love him frenchscally sexy scally woof woof,0,0,1
nothin in life is free some of you bitches need to write that on ya panties,0,1,0
if one of you bitches want some of my burrito u can catch me at potosino huh haha,0,1,0
niggas whole hoes out here cuz could not had said it better,0,1,0
hardcore way to eat mac and cheese boil water snort cheese powder drink boiling water fuck bitches,0,1,0
yourenotmytype if my fade is perpetually fresher than yours that is a real ass bitch rite there,0,1,0
annoying bitch that i love judyann is so pretty,0,1,0
bitch got on some huggies,0,1,0
hi bitch no bitch bye bitch,0,1,0
does he look like a bitch,0,1,0
chase money not hoes,0,1,0
cannot stand a i do not know what i want ass nigga bitch,0,1,0
i am on my way love a chav hot sexy scally fucker,0,1,0
these newly gay bitches do not kno how shit works,0,1,0
when a bitch do not want a real job they just become strippers lol lol,0,1,0
aww meat meat in his feelins i ainn n my feelings bitch,0,1,0
i want snake bites my industrial piercin a tattoo dem hoe accessories dea,0,1,0
baby albino,0,0,1
these hoes is not loyal,0,1,0
yass ordered chinese bitch you just ate tacos you fat fuck,0,1,0
i made that bitch lunch bitches love lunch,0,1,0
a no brainer but as soon as this bitch gets rich in political power her views will change political whores,0,1,0
a pussy a day keeps the devil away,0,1,0
is not that about a bitch what does that mean,0,1,0
all these bitches want a baby i do not want no children,0,1,0
and bitch you must be lost,0,1,0
baby i like being on your left side no bitch you cannot be there cuz the street on that side and twitter said i is not real if you do,0,1,0
bae sounds like such a ghetto word use something else,0,0,1
batter the wee cunt jewis y cos he fucked my ex emma isnt battering the girls i have nailed ive moved on stop being a pussy n do it urself,0,1,0
bleed out hoe alexa,0,1,0
boolin in the bando wit a few bitches,0,1,0
brownies for my brownie i love this movie,0,0,1
but i need a bad bitch that is hotter than me might be the realist shit partynextdoor ever said that is how i be feelin everyday,0,1,0
by the way we do punch bitches,0,1,0
caesar is home so much this bitch looks like lets start with ape shit,0,1,0
chinese maverick we were communicating comrade u know giving the imperialist yanks the birdie,0,0,1
dad say hi to my snapchat dad duces bitch,0,1,0
do you believe these hoes are not in fact loyal i disagree with that i do believe they are in fact the loyalest bunch these hoes,0,1,0
do not know no ugly bitches do not know no broke,0,1,0
do not make me make you fall in live with a nigga like mee the birds are my favorite songs by weeknd,0,1,0
do not worry about the nigga you see worry about the nigga you do not see dat is da nigga fuckin yo bitch,1,0,0
do not you ever give my pussy away you keep it tight alright,0,1,0
dropped a stack cause bitch i am song called dope download the mixtape here,0,1,0
dumb bitches do dumb things,0,1,0
eat the pussy like a real nigga hungry,0,1,0
eff it let is go after the cripple,0,1,0
everything look better with a bitch next to it,0,1,0
facto who cares if you a hoe when your ass looks like this,0,1,0
for every bad bitch there is a nigga tired of fucking her,0,1,0
foreign chick no lie man that bitch beautiful,0,1,0
fresh nigga so you kno i need a clean bitch who kno i am working cuz i wanna see my team rich,0,1,0
fuck i make my own rules suck my dragon balls bitch call me goku,0,1,0
generate ascii boxes with nodejs all i see is the ability to bring flappy bird in node via ascii tubes and bird,0,0,1
get me that shit bitch you is fine bear,0,1,0
get your ass back to detroit ya fuckin wigger,0,1,0
girls that i dated its okay i is not mad yo unless you stabbed me in the heart no love hoe,0,1,0
how do you know my twitter password bitch please,0,1,0
have you seen my shows have you seen my hoes if i was not hot would they be so thick,0,1,0
he a bitch for hitting that hoe,0,1,0
he married to a white woman lucky sum bitch uncle ruckus,0,1,0
he wanna be my nigga but i am just trinna be his savings account omg imma funny ass bitch man but that is real shit,0,1,0
her great grandmas a hoe her grandmas a hoe her moms and a hoe and she is a hoe it is a long line of hoes grandpa carl everyone,0,1,0
hey go look at that video of the man that found the kidnapped girls in ohio what a nigger shitmybossays,1,0,0
hey pussy you still there,0,1,0
how about we draft all those gung ho folks and send them to afghanistan or other war zones so they can show their,0,0,1
how hotter than is it a bitch,0,1,0
how u talking to hoes bout bro n em why you talking to hoes bout bro n em,0,1,0
how you doing crazy bitch is hilarious,0,1,0
i know my shoes dirty as fuck whatever bitch you do not have to call like negro one of the first things they look at is shoes dog,0,1,0
i am a thrill billy with a hillbilly heart hahahahaha jesus murphy,0,0,1
i call him my bitch,0,1,0
i cannot handle no liquor but these bitches cannot handle meedd chief sosa,0,1,0
i do not chase after dudes i chase after bitches edgar bautista,0,1,0
i do not love these hoes baby it is me and you forever,0,1,0
i dont even need a picture of tamar that bitch is beat in every picture,0,1,0
i dont have hoes,0,1,0
i found a new way to chug you have to open your mouth alot shitallysays,0,0,1
i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her,0,1,0
i got a bitch set it off like jada picket queen latifah you riding round with your nieces bitch you titi,0,1,0
i got a sister she told me stop calling women bitches,0,1,0
i guess this is the night bitches die stewie is that nigga,0,1,0
i had a bitch that had a bitch had the bitch eating halibut freshrhymes jerksquad slowstir,0,1,0
i have this lady love she is married but i still wanna bang her she will not have sex with me what a bitch a troubadour probably,0,1,0
i heard you was looking for candy man bitch,0,1,0
i hope you do not get mad ladies i only call you bitches bitches bc i do not know your names individually katt williams,0,1,0
