tuit,G,L,B,T,O
"Jajaja ... espero que tú también aguantes y te rías cuando los epítetos lanzados a las mujeres  por el simple hecho de serlo te toquen a ti: “maricón”, “mal cogido”, “histérico”, “menopáusico”, “visceral”, “ninguna verga te acomoda”, “pinche viejo”, “estridente”, “brujo” y más. url",1,0,0,0,0
@JhonatanGaribay ajajajaja si no es que se huanguea tu puño y se vuelve puñal como manuela palma xD,1,0,0,0,0
"""Qué marica, te lo debió de haber dicho de url Bueno, pero ni le das la oportunidad jaja."" 
—Onofre diciéndome mis verdades.",1,0,0,0,0
Creí que era Anahí pero sólo resultó ser un trans. url,0,0,0,1,0
@keevii08 Amor yo t doy besitos para q ya no chilles q maricon eres babe,1,0,0,0,0
Machorra y americanista 🤔,0,1,0,0,0
@lupillesco @Milenio Sólo quiere llamar la atención el joto,1,0,0,0,0
"@javier8bello @ChivasFemenil Jajajajaja ya Se we, si así tengo pegue con los jotos con esa más 🤦🏻‍♂️",1,0,0,0,0
Caminar por zona rosa y no ver gays es genial 👌🏼🌠,1,0,0,0,0
@juanistofelez Crei que nada superaría al de multa por marica 😏,1,0,0,0,0
explíquenme la urgencia de los jotos de hacer reels o tiktoks con peluca y voz de mujer,1,0,0,0,0
"@mexico_survivor Que se termine este pinche teatro 
Si ya tienen su ganador la producción y el joto del Warrior , pinche decepción de reality
tener que ver ese adefesio llamado Naomi el transformé que se pudran todos los que quedan disque compitiendo.",1,0,0,0,1
Maricon  @puliidooo url,1,0,0,0,0
"Nombres de Puñal:
Leonardo 
Emmanuel 
Sergio
Omar
Saúl
Eric
Eduardo
Rodrigo
Jorge

Ese es todo el tuit gracias por su atención",1,0,0,0,0
"Vecinos! Esta noche proyectaremos con @FESTIVALMIX el documental de @flavioflorencio para @ViceMexico: «Trans»! 8 pm, Callejón del 57! url",0,0,0,0,1
"@kymberlybebita @AlexisR34751565 No lo tomen en cuenta, los va a dejar plantados el maricon pocos huevos este. url",1,0,0,0,0
"¿ Crees correcto que no podamos utilizar la palabra maricón porque nos sancionan?
La RAE la avala url",1,0,0,0,0
Ay! Que pinche marica me saliste.,1,0,0,0,0
"Beto y Enrique de Plaza Sésamo eran pareja, tenían que salir con esto. ¡Por favaar, a fuerza  tiene que ser todo gay!",1,0,0,0,0
"@CriSzis @TheNifel @marcelamerino @FrenteOrgulloMX @adrianodanz @CoalicionLGBTTI @NoticiasLGBT @tagletaigaro @luisperelmanmx @jrisco @JohnMAckerman @CiroGomezL @Movilh @jenarovillamil Si. Hueva. Da la misma que una jota sea un puto o una pasiva. ¿Para que diferenciar entre oso, activa y twink? Pinches categorías innecesarias de maricones y afeminados. Todo es lo mismo que “Gay”.",1,0,0,0,0
@CaroRuix ahhh no entonces es una amiga closetera mas !,0,1,0,0,0
@Johnnyvgarcia @bobbypulido425 @La_Gr0sera el @PezdelReal tiene como 1 semana sin url debe andar pedo! Pinche tigre Joto!,1,0,0,0,0
@Will_FuckU marica ahorita bajo :) vos por cierto todavía sirve transformer JAJAJAJAJAJAJA cuando entras a estudiar ?,1,0,0,1,0
@SoyEcchi @mayatitos 🤤🤤Quiero.,1,0,0,0,1
Tengo gustos bien maricas.,1,0,0,0,0
@elmorfeus por eso luego salen jotos y travestís los chamacos!!,1,0,0,1,0
"@Alejand53455108 @PhilPage30 @ChumelTorres Ahí lo dice claramente, aparte de joto,mitomano? url",1,0,0,0,0
@justinbieber pinchi maricon me la chupas,1,0,0,0,0
Te dijeee!!! Borrado por fín y tambien de la selección con su lesión de marica tambien borrado @Fer_capital  url,1,0,0,0,0
@xevtfm si puro joto andaba chupando caña,1,0,0,0,0
"""¡Marica!"", le gritaron, y desde entonces se guardó en un clóset.",1,0,0,0,0
@julioorojo Primero que nada buenos días y segundo ya se te quito lo joto?,1,0,0,0,0
"Los gays que dicen ""Bro"", namames, te la comes doblada y me vienes a decir ""bro"".",1,0,0,0,0
"Lia Thomas, matriculada en la Universidad de Pensylvania, ha dominado la natación femenil universitaria de Estados Unidos, lo cual no hacía cuando hasta hace unos años competía como hombre. ¿Esta situación es a favor de la mujer? url",0,0,0,1,0
@adrianrm196 Me puedes criticar pero llamarme afeminado es tremenda falta de respeto. Como buen milenial no mides bye,1,0,0,0,0
"-Jajaja piiiinche joto, quien te pinto las uñas joto?
-Tu mamá",1,0,0,0,0
Ya casi es Junio y tu sigues de puta #ElGorgojoDeMORENA,0,0,0,0,1
@Chivas jotos maricones como @jorgevergara  url,1,0,0,0,0
Me dan mucha risa los memes de la jota de caso cerrado 😂😂😂,1,0,0,0,0
Cervezas light??? Jotos tenían que ser!! 🙄🙄🙄 es lo que hay! @ Embarcadero Nuevo de Nativitas url,1,0,0,0,0
"El sabado: para quién debe ser el mensaje del festejo de viejito con bastón

Lunes: Pum!! Por andarle jugando al vergas, me lo mandaron a la chingada 

En Computrabajo puedes buscarle como "" Recamarera "" 

Maldito marica",1,0,0,0,0
"@_mikastro No tiene nalgas, si es lesbiana jajaja",0,1,0,0,0
Me tienes envidia maricón!!,1,0,0,0,0
@SergioSarmiento @fernandeznorona Entre más viejo mas pendejo y más maricon Norona.,1,0,0,0,0
"@AlanPonce_29 @Nora_Ruvalcaba @RoyCampos @PGR_mx @TwitterSupport @RickDjMx @emarthaaide @ileana_Mex @sofimenem @CarlosTorresF_ @ManuelVegaCln @carmen_olvera @ysenger @MagdaGraciasFCH @AmyCe2 No manches.

Eso es de maricones.

Tirar a alguien de una silla de ruedas es no tener madre.

Pero a qué no lo hacen en un mitin, porque les va como al Ruso ese que madr
earon por prepotente",1,0,0,0,0
@poqkeeet Porque Eres Un Vato 🙄 Puta Lencha,0,1,0,0,0
Ya cualquier puñetas crítica a lo pendejo y a la hora de responder url Pinches jotos,1,0,0,0,0
Haciéndosela de pedo a jotos useless,1,0,0,0,0
@HeeyWera pff es bien marica,1,0,0,0,0
@url  Y esperabas tu arcoíris 🌈 marica?,1,0,0,0,0
"""@JBDzul: @bbakiut @gerarddelrivero  oye pitayo no seras joto 😁""//si quieres te demuestro que no soy joto",1,0,0,0,0
"Felicidades a todos los jotos que si bien no son madres, han cargado con los chavitos de otro 😘",1,0,0,0,0
"@Pajaropolitico @NewsweekEspanol QUE CHINGUE A SU MADRE ELLO, PORQUE ES JOTO, Y SU MADRINA EL ORATE RT",1,0,0,0,0
No entiendo porque existen hombres tan maricones !! DIOS MIOOOOOO! Que. Penita,1,0,0,0,0
@El_Universal_Mx Más bien un transgénero jamás será igual a una mujer.,0,0,0,1,0
@A_Yuls  haha los maricones ya no jugaron XD,1,0,0,0,0
"Las de Kittie parecian lesbianas, no como las mystica girls, ellas son bien femeninas",0,1,0,0,0
"@johnerencastle Eduardo Verástegui terminó de mayate de políticos, le deja más que trabajar en Televisa.",1,0,0,0,0
"noche de sushi, es lo mas gay",1,0,0,0,0
Magnate ofrece 130 mdd al hombre que conquiste a su hija lesbiana url,0,1,0,0,0
@fernandeznorona Por mi arráncatela viejo joto,1,0,0,0,0
@FelipeCalderon Una botella de alchol para este borracho pendejo q en su secsenio nunca bajó mucho menos en el del maricon de peña,1,0,0,0,0
"Es de jotitas muy corrientitas cortar las palabras como para verse ""nice"" o de plano son muy wuebonas para escribir y url 
Que hueva cuando hablan así de ""celu""""pelis""""bendi"" url",1,0,0,0,1
@Maxi_HP @frankymostro no manches ese es un transformer,0,0,0,1,0
@Sigfridoma @dan_sfn Ya ves!!!!! No dejas de ser el gordito sentimental de la@línea ofensiva jajaja QUE GAY!!!!!,1,0,0,0,0
"Si se dan cuenta que le están subiendo el ego a un joto tapado, VERDAD?",1,0,0,0,0
Y el premio de los mellizos putos es url url,1,0,0,0,0
@divette10 Pose de lencha alfa 🤣,0,1,0,0,0
"No tengo nada en contra de los trans, pero me da mucha risa que enseñan todo. Si en realidad fueran mujeres quizá no se atreverían. 😂",0,0,0,1,0
"@TakerMetal No, solo digo que yo comencé mi día a las 6 así que mi día ha estado chingon :v tu eres el puto que de cualquier cosa te gusta andar alegando xd",1,0,0,0,0
@gerrykan @MarcoFabian_10 ay! ay! tú las traes. Maricón.,1,0,0,0,0
No mms pinche @neymarjr marica que te pico una hormiga o que,1,0,0,0,0
Seré Breve: Pinches americanistas maricas.,1,0,0,0,0
A los únicos que yo voy a respetar su decisión y decir que es no binario son a los hermafroditas o sea en todo el mundo es menos del 1% el cual al día de hoy no he visto a ninguno confundido pidiendo que les reconozcan como no binario jaja,0,0,0,0,1
Tenia que ser su hermano jajaja igual de pinches jotos los dos😂😂😂,1,0,0,0,0
@Matador08640286 @carwega Jajaja todo un mayate papi dile a tu presidentito jajaja los de la marina parecen mayates bueno son,1,0,0,0,0
"@EzeTowers @_Anagantios_ Yo también, literal tiene lo peor de los dos lados de los jotos las tóxicas quesque de masculinas que no mandan cara y las jotillas liosas, y lo peor ni cogen jajaja",1,0,0,0,0
"O mejor ""todos"", q incluye femenino, masculino, transgénero, homosexual, bisexual y lo q esta semana agregue la corrección política. url",0,0,0,0,1
"@genarolozano @gabrielguerrac En la cárcel marica, donde deben estar los delincuentes que infringen la Ley.

Como los que hicieron esto a un policía de Guadalajara url",1,0,0,0,0
"No  se conforman con ser jotas, tienen que ser feas y, encima de todo, hablar como niñas.

¡VER-GA!",1,0,0,0,0
Maldito marica envidioso. Deja de criticar. &gt;.&lt;,1,0,0,0,0
@Gay_bulge Hermosa!,0,0,0,0,1
"Tengo familiares Gay, Trans y lesbianas a los que amo muchísimo. Pero ellos tienen sus propios concursos, Miss universo si debería ser solo para mujeres. url",1,1,0,1,1
@Santiagodelacm puñal,1,0,0,0,0
@Ricardo_Jaar El mariconcito de Emilio atacó con alevosía y ventaja! Como buen joto!,1,0,0,0,0
"Ser homosexual implica que nunca hay agujero equivocado.

Punto para los gays.",1,0,0,0,1
"Ser tortillero me hace lesbiana?

Cco
@oliver_mx url",0,1,0,0,0
@FresaTigre @lunancys12 @blanks_rayada Te vez más joto sin barba,1,0,0,0,0
"Si creen que a las Argentinas no les importa nada, no saben lo que son en Mexico 🌶.
Pd: Ya me quisieron coger dos gays 🧐👍🏽",1,0,0,0,0
@Reporte_Indigo pinche joto mejor me la hubieras mentado jajajaja,1,0,0,0,0
"@florentinakane @HugoChappaloni @mexican_fifi Yo no tengo nada en contra de los homosexuales,lesbianas, travestis, transexuales etc, etc, para nada. Pero como ya hubo un caso, osea hay un antecedente ¿porqué tenemos que arriesgar a las mujeres o niñas a que vuelva a suceder?
Es mi opinión. Pero ""ojo"" no es ley. Cada quien.",1,1,0,1,0
"-MAMÁ!! Y ESA PLAYERA CON GANSOS ROSAS QUE!? 
-Es la que me pediste
- TE DIJE: GUNS AND ROSES! GUNS AND ROSES! 
-PONTE LA PLAYERA JOTITO
-Ay",1,0,0,0,0
¡¡Chingó a su madre nuestra puta moral!!,0,0,0,0,1
Un putito así url,1,0,0,0,0
@moruzhalee es que tu sabes que ha esta hora se me sale lo marica xD y no finjas que tu tambien me dices cosas lindas /.* [que weca x) ],1,0,0,0,0
@MichMich92 @Tusico Siempre es sabido que siempre se burlaban de Renata hasta que ella en un antro le aventó una cheve a José y estos la quemaron en las redes por naca y salvaje. Ella solo se defendió del bullying que ese joto le hacía.,1,0,0,0,0
"@s0fpi @rochaperiodista Oye si, ese niño ya es el escudo infantil oficial de la agresividad closetera de la dama. Así que ni se quejen de los malos tratos que le propina al morrillo que ya deberia de estar acostumbrado!",0,0,0,0,1
"Todos tenemos ese amigo que dice ser gay únicamente para sabrosear a sus amigas 😂😂
Bien ahí campeón",1,0,0,0,0
"@fernandeznorona Ahí si, me dijo mariquita, me dijo La vestida! Jajajajja jajajaja que nena eres! #quenenaeresnoroña",1,0,0,1,0
"@acelerinoDJ bloody mary?!! pide una cerveza eso esta muy de tremendo marica ,considero",1,0,0,0,0
@AdriannaGarco que marica! Hahaha mejor riiifate en el final!,1,0,0,0,0
@tuca_ferretti @MiguelHerreraDT si  que paso pinche piojo puñal jajajajaja   profe tuca es lo máximo usted   vamos por la  sexta copa  :),1,0,0,0,0
Que estará haciendo la machorrita  @felip87,0,1,0,0,0
@JTrianaT @ElJuntapalabras Un 'puñal' mugroso,1,0,0,0,0
Les jurooooo que no queríamos bailar tan joto 😂😂😂😂😂😂😈 @danieltvherrera @arturomapache… url,1,0,0,0,0
#Entérate Descubren reproducción asexual de pez sierra url url,0,0,0,0,1
"""Dejen de tuitear sobre el partido, ya empezó Gaim Of trons""

- Un pendejo mariquita.",1,0,0,0,0
"Yo y mi súper poder de tener a puro fan, JOTO! QUE HORROR",1,0,0,0,0
"Mi hijo tiene tendencia homosexual ¿qué hago? url
●Padres &amp; Hermanos Paulinos● url",1,0,0,0,0
"Mira pendejo tu mides como 1.50 mts.
No tienes piernas ni nalgas, estás feo y prieto, y para terminar, porque juzgas, no me conoces, no te enseñaron respeto en tu casa?
Que no sabes que uno no debe entablar conversación con url #Envidioso tú eres marica",1,0,0,0,0
"@PacoDelMazo Literal Paquito, me cago! Me harto la jota!",1,0,0,0,0
JAJAAJAJAJAAJAJAJAJAA estos jotos no le temen a dios url,1,0,0,0,0
@ESTiosBuenos @HoIaSoyGermam eres un corriente homosexual de closet siquiera reconócelo a nadie le importa,1,0,0,0,0
"Por QUÉ NO LE DICEN A ESTA LESBIANA QUE CALLADA SE VERIA MEJOR NADIE LE PIDIO SU PERRA OPINION Y ANTES DE HABLAR QUE SE LAVE EL HOCICO CON AGUA BENDITA LA SEÑORA VERÓNICA CASTRO ES UNA GRAN DAMA Y UNA GRAN MUJER .
SE TENÍA QUE DECIR Y LO DIJE url",0,1,0,0,0
"Al final de la transmisión del Cazul-Ame por la App de @TD_Deportes ponen a @CarlosLoret a hablar mal del @lopezobrador_ , televisa eres una arrastrada, que hace el coyon en un programa de deportes? Por eso te quieren dejar sin dientes marica #RedAMLO #LoDiceElSultánDelNorte",1,0,0,0,0
Algún día me voy a casar con Puerto partida (Soy un marica digo soy un cobarde),1,0,0,0,0
Sabes que un hombre es gay cuando pone un playlist de Rocío Dúrcal.,1,0,0,0,0
@Oswaltol1 Eres Joto verdad?,1,0,0,0,0
Llega un jotito a una taqueria le dice señor taquero meda un taco con chile nooo mejor sin taco y 5 por favor jojojojo 😋,1,0,0,0,0
Malditos changos panameños hijos de puta ya andan de maricones!,1,0,0,0,0
@xneritax bien que te gustaba el pequeño marica :P,1,0,0,0,0
"@barbarasanz7 @ijcasas Grandísimo patan, corriente y maricon",1,0,0,0,0
"Quieren un mundo #SinHomofobia pues que desaparezcan los jotos, maricones, putos, gays, lesbianas, machorras, tortilleras y demás sinónimos",1,1,0,0,1
Que maricas se ven los Corazones en cada #Tweet !,1,0,0,0,0
@ChaloLeite ahora pinchi joto gracias,1,0,0,0,0
"Wey, peda con rolitas de Lady Gaga, no porque me sale la jotita interna",1,0,0,0,0
@josecap97 Porque la vida te odia joto,1,0,0,0,0
Puto pelon de mierda @LIGABancomerMX  los odio mueranse a la verga putos Chacón y ustedes putos corruptos a la mierda los odio,1,0,0,0,0
"Me considero un ser de luz!
(Pero nunca le rendiré tributo a CFE) bola de jotos !",1,0,0,0,0
"Rayos, me bloqueo el marica",1,0,0,0,0
@Enfranjados_DC @RayValenciaT Y los supuestos audios que tenía. La agresión a los aficionados. Es todo un maricon ese Pepillo Hanan,1,0,0,0,0
Esta el joto que siempre se me queda viendo 🤦🏻‍♂️,1,0,0,0,0
"#MePongoBorrachoPor puro gusto, nada por depresion eso es para maricas! xD",1,0,0,0,0
"Si muchas vestidas agregadas has de tener, mayate has de ser",1,0,0,0,0
"¿Saben como fue que Sheinbaum desapareció el cuerpo de granaderos? 

Exacto. Los volvió bisexuales. MAFIA GAY.",1,0,1,0,0
"Nodal es la lesbiana intensa de la relación.

Siono.

@elnodal @belindapop url",0,1,0,0,0
@RICARDOPELAEZ9 marica,1,0,0,0,0
"Mis felicitaciones por este medio a los dos putos de la 4 shit @AntonioAttolini  y @gibranrr no son gays pero ,si se los siguen cogiendo , si se pueden hacer ! url",1,0,0,0,0
"“Cualquier actor o actriz puede hacer cualquier papel”, ustedes trans como molestan.

Ya los veo si hubieran propuesto a Halle Berry para ser el próximo Batman.",0,0,0,1,0
Maricas url,1,0,0,0,0
"El que se cree bien macho y disque Influencer pero realmente @SoyRobRMX es marica y puñetas que le gusta el color rosa y que se pone un mameluco de niños. 🤣

#ConLosNinosNo #RedAmlove #OposicionMoralmenteDerrotada @gallotal #RedAMLO @rorocanibal url",1,0,0,0,0
"-¿Me da un 12 de Tecate light?
-¿No quiere unos tacones también, pinche marica?",1,0,0,0,0
"¿En qué momento @Tinder permitió que el apartado de mujeres se llevará de homosexuales que fingen ser mujeres?

Y todavía cobran por verlos.

Estás fracasando, @Tinder.",1,0,0,0,0
"Rápido.. ¿CUÁLES ERAN ESAS RESPUESTAS?

Also ""pitonisa"" es un excelente nombr alburero para una mujer trans. url",0,0,0,1,0
"@juncalssolano Callase el hocico pinche transformer matraquero, url",0,0,0,1,0
Mi @ConchitaWurstQue Pitos Toca En Los #GoldenGlobes??? Maldito Joto Feo!  url,1,0,0,0,0
Qué fuerte #Epn ya olías a #putito url,1,0,0,0,0
@Alex_16ec @sopitas @greciaplg Pensé que ya no podías ser mas joto ahha,1,0,0,0,0
#vucetichmeteme Todos los de Veracruz son jotos! Jajajajaja,1,0,0,0,0
"Aaah, viejillo mañurl puñal, diría yo url",1,0,0,0,0
"Digo, la idea no es satanizar ningún modo ser mujer. Ningún modo es más correcto. Solo me sorprende lo COMÚN que es la vieja trans sexuada. url",0,0,0,1,0
no justin porqueeeee!! porque te me hiciste gay tu tambien :(,1,0,0,0,0
"fernanfloo no as hecho lo que te dige de geometry dash que juegues otro nivel que no sea online o eres marica, puto miedos de mierda maricon",1,0,0,0,0
"@eddy_tigre22 @VladimirGarciaG @Tamedamus @FJG_TD Acá hay uno del 2021, de hecho un twitter search “rayado maricon” y hay de todos los años url",1,0,0,0,0
@Olbaid666 @Cristiano Esta medio gay tu pregunta jajaja pero si el cabello largo viene de moda dale micky,1,0,0,0,0
@_TioGamboin Ya valiste verga con tu url Lo ves? Soda es de jotos.,1,0,0,0,0
"La chinita sigue creyendo que el Frank es ""hombre""

Hasta mayate tiene en el gimnasio.",1,0,0,0,0
"Que joto queriendo hacer un gol, fingiendo una falta.  

#Tipicodelamerica",1,0,0,0,0
"Y ese JAVIER a la torre que? Si ni siquiera sabe si es hombre o que? Experto en mentiras y edición de noticias, deberían de vetarlo hasta del mundo de los homosexuales. Mariquita sin calzones url",1,0,0,0,0
Traguese bien la verga o lo madreo puñal url,1,0,0,0,0
"Pinches científicos pillos. Economizar el desarrollo de biocombustibles? nel, vamos a investigar cuáles animales suelen ser bisexuales, lol",0,0,1,0,1
"-Eres de mente abierta
-No porque?
-Y esos homosexuales
-No seas culero, son alumnos de la @UVM campus tuxtla.",1,0,0,0,0
No cabe duda que yo me visto medio vato y el se viste super gay😂😂😂😂,1,0,0,0,0
Enojarse con Sean Penn es de mujeres negras. Negras y lesbianas.,0,1,0,0,0
"Así nuestro México que consulta a un charlatán y transexual para ver como le irá este año, dan hueva paisanos #MhoniEsHechiceroDeSatanas",0,0,0,1,0
Jueguen pinches jotos que para ser campeón le tienes que ganar a todos,1,0,0,0,0
¿Descansaron al joto asqueroso de Alex Kaffie para que @LuciaMendezP estuviera en @programa_hoy ? 😂😂😂😂,1,0,0,0,0
Que chido estuvo el masaje! Lo cagante fue que al ultimo me di cuenta que era puto😶💥🔫,1,0,0,0,0
Si ya sabemos que te pones en cuatro por una chela y aquí vienes a tuitear que te haces la difícil. Jota ridícula.,1,1,0,0,0
Los vatos sacan el lado marica y las morras el lado sharmuta,1,0,0,0,0
"RT @danitafashion: Cuando de adultos deciden ser transgénero, pues va. Pero los niños son el reflejo de nosotros. ¡No los contaminen! &lt; wat?",0,0,0,1,0
(Igual y cachamos a un transformer con este tuit. Y miren.. NO ESTARÍA PARA NADA TRISTE CON ESO),0,0,0,1,0
@hdzcontreras no sea joto capi,1,0,0,0,0
"Qué jotos pero en fin, me caen bien jaja 😂 url",1,0,0,0,0
¿Tus papás saben que juegas a la bisexual en internet?,0,0,1,0,0
@_MiguelJasso @Abril_luna2 Ni t metiste joto,1,0,0,0,0
"Mariquitas, Mariquitas, como niñas siempre gritan. url",1,0,0,0,0
"Muero de risa cuando platico con un tipo que dice ser bisexual, activo súper discreto, pero jamás ha tenido novia y sus ex son pura jota 😂😂😂",0,0,1,0,0
Nada más peligroso que un joto con Autoestima demasiado alto!,1,0,0,0,0
@Reporte_Indigo Cuando los hombres den a luz en una sociedad pervertida y degenerada dominada por transgéneros sí.,0,0,0,1,0
@joker_hl @GerardoAtayde8 Cero y van dos puñal.,1,0,0,0,0
"Te mandaron al chorizo, puñal. url",1,0,0,0,0
"@LiLHeathenMMA pinche joto maricon, decepcionante tu participación, jamás pagaría por verte nuevamente en el octágono",1,0,0,0,0
No me deja de doler la panza por todo lo que he comido😖Que pasó amigo? Dónde quedó ese estómago de hierro? nos estamos poniendo medio gays.,1,0,0,0,0
