fragmento,genero,emocion
"Has cambiado mi vida, me has hecho crecer",Pop,P
Es que no soy el mismo de ayer,Pop,S
Un día es un siglo sin ti,Pop,S
"Si te he fallado, te pido perdón",Pop,N
"Sí, yo quería ser esa mujer",Pop,S
La madre de tus hijos,Pop,S
Y juntos caminar hacia el altar,Pop,P
Directo hacia la muerte,Pop,N
"Y al final, ni hablar",Pop,S
Los dos nos destruimos,Pop,N
"Y al final, ¿qué tal?",Pop,S
tu y yo ya no existimos,Pop,N
"No, no quiero ser, esa mujer",Pop,S
Ella se fue a un abismo,Pop,N
Y tú no eres aquél que prometió,Pop,S
Sería mi superhéroe,Pop,P
"Y qué, todo terminará, no queda más",Pop,N
Seremos dos extraños,Pop,S
"Yo te olvidaré, me olvidarás",Pop,N
Hasta nunca,Pop,N
"¿Y dónde quedó, ese botón",Pop,S
Que lleva a la felicidad?,Pop,P
"Luna de miel, rosa pastel",Pop,S
Clichés y tonterías,Pop,S
"Y al final, ni hablar",Pop,S
Los dos nos destruimos,Pop,N
"Y al final, ¿qué tal?",Pop,S
tu y yo ya no existimos,Pop,N
"No, no quiero ser, esa mujer",Pop,S
Ella se fue a un abismo,Pop,N
Y tú no eres aquél que prometió,Pop,S
Sería mi superhéroe,Pop,P
"Y qué, todo terminará, no queda más",Pop,N
Seremos dos extraños,Pop,S
"Yo te olvidaré, me olvidarás",Pop,N
Hasta nunca,Pop,N
Amaneció,Pop,S
Y me encontré con que emprendiste un largo viaje,Pop,S
Mi corazón se te escapó del equipaje,Pop,S
Y se quedó fue pa' llenarme de recuerdos,Pop,P
Amaneció,Pop,S
Y el gallo viejo que cantaba en la ventana,Pop,S
Hoy no cantó pues tú no abriste la mañana,Pop,S
Y hasta el viento se devolvió porque no estabas,Pop,S
Eres el arroyito que baña mi cabaña,Pop,P
Eres el negativo de la foto de mi alma,Pop,N
Eres agua bendita que crece en mi cultivo,Pop,P
Eres ese rayito que me calienta el nido,Pop,P
Y el corazón abre su álbum en silencio,Pop,S
Un acordeón le va imprimiendo los recuerdos,Pop,P
Y hace también una canción para que vuelvas,Pop,S
Atardeció,Pop,S
Y ya se va la claridad de mi cabaña,Pop,S
No siento luz en los rincones de mi alma,Pop,N
Pues ya no tengo todo lo que llevas dentro,Pop,S
Eres el arroyito que baña mi cabaña,Pop,P
Eres el negativo de la foto de mi alma,Pop,N
Eres agua bendita que crece en mi cultivo,Pop,S
Eres ese rayito que me calienta el nido,Pop,P
Yo solo quiero ser el dueño de tu amor,Pop,P
Yo solo quiero ser el dueño de tu risa,Pop,P
Para encontrarte y devolverte el corazón,Pop,P
Y me acompañes por el resto de mi vida,Pop,S
Eres el arroyito que baña mi cabaña,Pop,P
Eres el negativo de la foto de mi alma,Pop,N
Eres agua bendita que crece en mi cultivo,Pop,S
Eres ese rayito que me calienta el nido,Pop,P
Eres el arroyito que baña mi cabaña,Pop,P
Eres el negativo de la foto de mi alma,Pop,N
Eres agua bendita que crece en mi cultivo,Pop,S
Eres ese rayito que me calienta el nido,Pop,P
Quizá no fue coincidencia encontrarme contigo,Pop,S
Tal vez esto lo hizo el destino,Pop,S
Quiero dormirme de nuevo en tu pecho,Pop,P
Y después me despierten tus besos,Pop,P
Tu sexto sentido sueña conmigo,Pop,S
Sé que pronto estaremos unidos,Pop,P
Esa sonrisa traviesa que vive conmigo,Pop,P
Sé que pronto estaré en tu camino,Pop,S
Sabes que estoy colgando en tus manos,Pop,S
"Hmm, así que no me dejes caer",Pop,S
Sabes que estoy colgando en tus manos,Pop,S
Te envío poemas de mi puño y letra,Pop,P
Te envío canciones de cuatro cuarenta,Pop,P
Te envío las fotos cenando en Marbella,Pop,S
Y cuando estuvimos por Venezuela,Pop,S
Y así me recuerdes y tengas presente,Pop,P
Que mi corazón está colgando en tus manos,Pop,P
"Cuidado, cuidado que mi corazón esta colgando en tus manos",Pop,S
No perderé la esperanza de hablar contigo,Pop,N
"Hmm, no me importa qué dice el destino",Pop,S
Quiero tener tu fragancia conmigo,Pop,P
Y beberme de ti lo prohibido,Pop,N
Sabes que estoy colgando en tus manos,Pop,S
"Hmm, así que no me dejes caer",Pop,S
Sabes que estoy colgando en tus manos,Pop,S
Te envío poemas de mi puño y letra,Pop,P
Te envío canciones de cuatro cuarenta,Pop,P
Te envío las fotos cenando en Marbella,Pop,S
Y cuando estuvimos por Venezuela,Pop,S
Y así-así me recuerdes y tengas presente,Pop,P
Que mi corazón está colgando en tus manos,Pop,P
"(Cuidado), cuidado (mucho cuidado), cuidado",Pop,S
"Marta, yo te digo, me tienes en tus manos",Pop,S
"(Cuidado, mucho cuidado)",Pop,S
"No importa qué diga el destino, quédate conmigo",Pop,S
"(Cuidado, mucho cuidado)",Pop,S
"Lo quiero todo de ti: tu' labio', tu cariño no prohibido; ay",Pop,S
Te envío poemas de mi puño y letra,Pop,P
Te envío canciones de cuatro cuarenta,Pop,P
Te envío las fotos cenando en Marbella,Pop,S
Y cuando estuvimos por Venezuela,Pop,S
Y así-así me recuerdes y tengas presente,Pop,P
Que mi corazón está colgando en tus manos,Pop,P
"Cuidado, cuidado que mi corazón esta colgando en tus manos",Pop,S
Que mi corazón está colgando en tus manos,Pop,P
Que mi corazón está colgando en tus manos,Pop,P
Eres para mí,Pop,P
"Me lo ha dicho el viento, eres para mí",Pop,P
"Lo oigo todo el tiempo, eres para mí",Pop,P
"Me lo ha dicho el viento, eres para mí",Pop,P
"La sombra que pasa, la luz que me abraza",Pop,P
Tus ojos mirándome,Pop,S
La calle que canta su canto de diario,Pop,S
El mundo moviéndose,Pop,S
Y yo sé que tienes miedo,Pop,N
Y no es un buen momento para ti,Pop,N
Y para esto que nos viene sucediendo,Pop,S
Pero eres para mí,Pop,P
"Me lo ha dicho el viento, eres para mí",Pop,P
"Lo oigo todo el tiempo, eres para mí",Pop,P
"Me lo ha dicho el viento, eres para mí",Pop,P
El espejo que da su reflejo en todo,Pop,S
Lo pinta tal como es,Pop,S
Mi cuerpo que no tiene peso,Pop,S
Si escucho tu voz llamándome,Pop,S
"Y yo sé, que tienes miedo",Pop,N
Y no es un buen momento para ti,Pop,N
Y para esto que nos viene sucediendo,Pop,S
¿Temes sentir más de la cuenta?,Pop,N
"El corazón es un músculo, si no late revienta",Pop,S
"Extraño (Extraño), mirarte de lejos",Pop,P
"De hacernos los tontos, parecemos tan viejos",Pop,S
"¿Tiempo? Hmm, quieres más tiempo",Pop,S
"Mírame la piel, ¿no ves acaso lo que siento?",Pop,S
"Tú eres para mí, yo soy para ti",Pop,P
El viento me lo dijo con un soplo suavecillo,Pop,P
"Y yo sé, que tienes miedo",Pop,N
Y no es un buen momento para ti (Para mí),Pop,N
Y para esto que nos viene sucediendo,Pop,S
Pero eres para mí,Pop,P
"Me lo ha dicho el viento, eres para mí",Pop,P
"Lo oigo todo el tiempo, eres para mí",Pop,P
"(Tal para cual, como el mar y la sal)",Pop,P
"​Me lo ha dicho el viento, eres para mí",Pop,P
"(Sigue mi cadencia, pierdo la paciencia",Pop,S
"Tú eres para mí, ¿no te das cuenta?)",Pop,P
Eres para mí,Pop,P
(Tú eres para mí yo soy para ti,Pop,P
El viento me lo dijo con un soplo suavecillo),Pop,P
Eres para mí (Tú eres para mí),Pop,P
"​Lo oigo todo el tiempo, eres para mí (Tú eres para mí)",Pop,P
Me lo ha dicho el viento (Yo soy para ti),Pop,P
Eres para mí (Tú eres para mí),Pop,P
Lo oigo todo el tiempo (Yo soy para ti),Pop,P
Eres para mí,Pop,P
"Tú eres para mí, yo soy para ti",Pop,P
Eres para mí,Pop,P
"Tú eres para mí, yo soy para ti",Pop,P
"Tú eres para mí, yo soy para ti",Pop,P
Extrañarte es mi necesidad,Pop,S
Vivo en la desesperanza,Pop,N
Desde que tú ya no vuelves más,Pop,N
Sobrevivo por pura ansiedad,Pop,N
Con el nudo en la garganta,Pop,N
Y es que no te dejo de pensar,Pop,S
Poco a poco el corazón oscuridad,Pop,N
Va perdiendo la fe,Pop,N
Perdiendo la voz,Pop,N
Sálvame del olvido,Pop,N
Sálvame de la soledad,Pop,N
Sálvame del hastío,Pop,N
Estoy hecha a tu voluntad,Pop,S
Sálvame del olvido,Pop,N
Sálvame de la,Pop,N
Sálvame del hastío,Pop,N
No me dejes caer jamás,Pop,N
Me propongo tanto continuar,Pop,S
Pero amor es la palabra,Pop,P
Que me cuesta a veces olvidar,Pop,S
Sobrevivo por pura ansiedad,Pop,N
Con el nudo en la garganta,Pop,S
Y es que no te dejo de pensar,Pop,S
Poco a poco el corazón,Pop,S
Va perdiendo la fe,Pop,N
Per la voz,Pop,S
Sálvame del olvido,Pop,N
Sálvame de la soledad,Pop,N
Sálvame del hastío,Pop,N
Estoy hecha a tu voluntad,Pop,S
Sálvame del olvido,Pop,N
Sálvame de la oscuridad,Pop,N
Sálvame del hastío,Pop,N
No me dejes caer jamás,Pop,S
Sálvame del olvido,Pop,N
Sálvame de la soledad,Pop,N
Sálvame del hastío,Pop,N
Estoy hecha a tu voluntad,Pop,S
Sálvame del olvido,Pop,N
Sálvame de la oscuridad,Pop,N
Sálvame del hastío,Pop,N
No me dejes caer jamás,Pop,S
Sálvame del olvido,Pop,N
Sálvame del hastío,Pop,N
Sálvame del olvido,Pop,N
Llama no importa la hora que yo estoy aquí,Pop,S
Entre las cuatro paredes de mi habitación,Pop,S
Y es importante al menos decirte,Pop,S
"Que esto de tu ausencia duele, y no sabes cuanto",Pop,N
Ven aparece tan sólo comunícate,Pop,S
Que cada hora es un golpe de desolación,Pop,N
Es demasiado aburrido no estar a tu lado,Pop,S
Ven que mi alma no quiere dejarte ir,Pop,N
"Que los minutos me acechan, aquí todo es gris",Pop,N
Que alrededor todo es miedo y desesperanza,Pop,N
Ven que nunca imaginaba como era estar sola,Pop,N
Que no es nada fácil cuando te derrotan,Pop,N
"Que no sé que hacer, y aquí no queda nada de nada",Pop,S
No me enseñaste cómo estar sin ti,Pop,S
¿Y qué le digo yo a este corazón?,Pop,S
Si tu te has ido y todo lo perdí,Pop,N
"¿Por dónde empiezo, si todo acabó?",Pop,N
No me enseñaste cómo estar sin ti,Pop,S
¿Cómo olvidarte si nunca aprendí?,Pop,S
Llama y devuélveme todo lo que un día fui,Pop,S
Esta locura de verte se vuelve obsesión,Pop,N
Cuando me invaden estos días tristes,Pop,N
"Siempre recuerdo mi vida, yo como te amo",Pop,P
Ven que mi cuerpo la pasa extrañándote,Pop,S
Que mis sentidos se encuentran fuera de control,Pop,S
Es demasiado aburrido no estar a tu lado,Pop,N
Ven que nunca imaginaba como estar sola,Pop,N
Que no es nada fácil cuando te derrotan,Pop,N
"Que no sé que hacer, que aquí no queda nada de nada",Pop,N
No me enseñaste cómo estar sin ti,Pop,S
¿Y qué le digo yo a este corazón?,Pop,S
Si tu te has ido y todo lo perdí,Pop,N
"¿Por dónde empiezo, si todo acabó?",Pop,N
¿Cómo olvidarte si nunca aprendí?,Pop,S
"No me enseñaste, amor, cómo lo hago sin ti",Pop,S
No me enseñaste cómo estar sin ti,Pop,S
¿Y qué le digo yo a este corazón?,Pop,S
Si tu te has ido y todo lo perdí,Pop,N
"¿Por dónde empiezo, si todo acabó?",Pop,N
¿Cómo olvidarte si nunca aprendí?,Pop,S
No me enseñaste cómo estar sin ti,Pop,S
¿Y qué le digo yo a este corazón?,Pop,S
Si tu te has ido y todo lo perdí,Pop,N
"¿Por dónde empiezo, si todo acabó?",Pop,S
¿Cómo olvidarte si nunca aprendí?,Pop,S
No me enseñaste como estar sin ti,Pop,S
¿Y qué le digo yo a este corazón?,Pop,S
Si tu te has ido y todo lo perdí,Pop,N
"¿Por dónde empiezo, si todo acabó?",Pop,S
¿Cómo olvidarte si nunca aprendí?,Pop,S
No me preguntes más por mí,Pop,S
Si ya sabes cual es la respuesta,Pop,S
"Desde el momento en que te vi, sé a lo que voy",Pop,S
Yo me propongo ser de ti,Pop,S
Una víctima casi perfecta,Pop,S
"Yo me propongo ser de ti, un volcán hoy",Pop,S
El amor tal vez es un mal común,Pop,S
"Y así como ves, estoy viva aún",Pop,S
Será cuestión de suerte,Pop,S
Y creo que empiezo a entender,Pop,S
"(Despacio, despacio, comienzas a caer)",Pop,S
Nos deseábamos desde antes de nacer,Pop,S
"(Te siento, te siento, desde antes de nacer)",Pop,S
Tengo el presentimiento de que empieza la acción,Pop,S
"(Adentro, adentro, te vas quedando)",Pop,S
Y las mujeres somos las de la intuición,Pop,S
"(Así, estoy dispuesta a todo, amor)",Pop,P
Yo te propongo un desliz,Pop,S
Un error convertido en acierto,Pop,S
Yo me propongo ser de ti,Pop,S
Un volcán hoy,Pop,S
El amor tal vez es un mal común,Pop,S
"Y así como ves, estoy viva aún",Pop,S
Será cuestión de suerte,Pop,S
Y creo que empiezo a entender,Pop,S
"(Despacio, despacio, comienzas a caer)",Pop,S
Nos deseábamos desde antes de nacer,Pop,S
"( Te siento, te siento, desde antes de nacer)",Pop,S
Tengo el presentimiento de que empieza la acción,Pop,S
"(Adentro, adentro, te vas quedando)",Pop,S
Y las mujeres somos las de la intuición,Pop,S
"(Así, estoy dispuesta a todo, amor)",Pop,P
Creo que empiezo a entender,Pop,S
"(Despacio, despacio, comienzas a caer)",Pop,S
Nos deseábamos desde antes de nacer,Pop,S
"(Te siento, te siento, desde antes de nacer)",Pop,S
Tengo el presentimiento de que empieza la acción,Pop,S
"(Adentro, adentro, te vas quedando)",Pop,S
Y las mujeres somos las de la intuición,Pop,S
Las de la intuición,Pop,S
Fue una mañana que yo te encontré,Pop,S
Cuando la brisa besaba tu dulce piel,Pop,P
Tus ojos tristes que al ver adore,Pop,S
"La noche que yo te ame, eh",Pop,P
"Azul, cuando el silencio por fin te bese",Pop,P
"Azul, sentí muy dentro nacer este amor",Pop,P
"Azul, hoy miro al cielo y en ti puedo ver",Pop,P
La estrella que siempre soñé,Pop,S
"Azul, y es que este amor es azul como el mar",Pop,P
"Azul, como de tu mirada nació mi ilusión",Pop,P
Azul como una lagrima cuando hay perdón,Pop,S
Tan puro y tan azul que me han vuelto el corazón,Pop,S
Es que este amor es azul como el mar,Pop,S
"Azul, como el azul del cielo nació entre los dos",Pop,S
"Azul, como el lucero de nuestra pasión",Pop,P
Un manantial azul que me llena de amor,Pop,P
Como el milagro que tanto espere,Pop,S
Eres la niña que siempre busque,Pop,S
"Azul, es tu inocencia que quiero entender",Pop,S
Tu príncipe azul yo seré,Pop,S
"Azul, es mi locura si estoy junto a ti",Pop,P
"Azul, rayo de lunas para mi",Pop,S
"Azul, con la lluvia pintada de azul",Pop,S
Por siempre serás solo tu,Pop,S
"Azul, y es que este amor es azul como el mar",Pop,P
"Azul, como de tu mirada nació mi ilusión",Pop,P
Azul como una lagrima cuando hay perdón,Pop,S
Tan puro y tan azul que me han vuelto el corazón,Pop,S
Es que este amor es azul como el mar,Pop,S
"Azul, como el azul del cielo nació entre los dos",Pop,S
"Azul, como el lucero de nuestra pasión",Pop,S
Un manantial azul que me llena de amor,Pop,P
"Ahh ahh, oh oh, ahh ahh ah oh oh",Pop,S
"Ahh ahh, oh oh, ahh ahh ah oh oh",Pop,S
"Bajo el cielo, la ciudad se empieza a iluminar",Pop,S
Esta noche todo lo que quiero es bailar,Pop,S
Sólo espero que esta vez te quieras acercar,Pop,S
Y así comenzar,Pop,S
"Tengo el ritmo, y tú tienes todo lo demás",Pop,S
"Me enloqueces, creo que me empiezo a enamorar",Pop,P
Sólo espero que mi amor te pueda contagiar,Pop,P
Y así comenzar,Pop,S
"Bailando, cantando",Pop,S
"Enloquéceme, ey ey ey ey",Pop,P
"Uh baby, no puedo esconderlo",Pop,S
Siento en todo el cuerpo,Pop,S
La locura de tu amor,Pop,P
"Uh baby, se metió en mi pecho",Pop,S
Arde como el fuego,Pop,S
La locura de tu amor,Pop,P
Tengo el ritmo y tú tienes todo lo demás,Pop,S
"Me enloqueces, creo que me empiezo a enamorar",Pop,P
"Yo te quiero, si no tienes miedo tu verás",Pop,P
Que la noche arderá,Pop,S
"Bailando, cantando",Pop,S
"Enloquéceme, ey ey ey ey",Pop,P
"Uh baby, no puedo esconderlo",Pop,S
Siento en todo el cuerpo,Pop,S
La locura de tu amor,Pop,P
"Uh baby, se metió en mi pecho",Pop,S
Arde como el fuego,Pop,S
La locura de tu amor,Pop,P
"Uh baby, no puedo esconderlo",Pop,S
Siento en todo el cuerpo,Pop,S
La locura de tu amor,Pop,P
"Uh baby, se metió en mi pecho",Pop,S
Arde como el fuego,Pop,S
La locura de tu amor,Pop,P
Siento aquí en el pecho la locura de este amor,Pop,P
"Oh nena, arde como el fuego",Pop,S
"Baby, dame todo tu calor (calor)",Pop,S
Siento aquí en el pecho la locura de este amor,Pop,P
"Oh nena, arde como el fuego",Pop,S
"Baby, dame todo tu calor",Pop,S
"Uh baby, no puedo esconderlo",Pop,S
Siento en todo el cuerpo,Pop,S
La locura de tu amor,Pop,P
"Uh baby, se metió en mi pecho",Pop,S
Arde como el fuego,Pop,S
La locura de tu amor,Pop,P
"Uh baby, no puedo esconderlo",Pop,S
Siento en todo el cuerpo,Pop,S
La locura de tu amor,Pop,P
Uh baby se metió en mi pecho,Pop,S
Arde como el fuego,Pop,S
La locura de tu amor,Pop,P
No ha podido olvidar mi corazón,Pop,S
Aquellos ojos tristes soñadores que yo amé,Pop,P
La dejé por conquistar una ilusión,Pop,S
"Y perdí su rastro, y ahora sé que es ella",Pop,S
Todo lo que yo buscaba,Pop,S
Y ahora estoy aqui,Pop,S
Buscándola de nuevo,Pop,S
"Ya no está, se fue",Pop,S
Tal vez usted la ha visto digale,Pop,S
Que yo siempre la adoré,Pop,P
Y que nunca la olvidé,Pop,S
Que mi vida es un desierto y muero yo de sed,Pop,N
"Y digale también, que sólo junto a ella puedo respirar",Pop,S
No hay brillo en las estrellas,Pop,N
"Ya ni el sol, me calienta",Pop,N
"Y estoy muy solo aqui, no sé a donde fue",Pop,N
Por favor digale usted,Pop,S
Fueron tantos los momentos que la amé,Pop,S
Que siento sus caricias y su olor esta en mi piel,Pop,P
Cada noche la abrazaba junto a mi,Pop,P
"La cubría de besos, y entre mil caricias",Pop,P
La llevaba a la locura,Pop,N
Y ahora estoy aqui,Pop,S
Buscándola de nuevo,Pop,S
"Ya no está, se fue",Pop,S
Tal vez usted la ha visto digale,Pop,S
Que yo siempre la adoré,Pop,P
Y que nunca la olvidé,Pop,S
Que mi vida es un desierto y muero yo de sed,Pop,N
"Y digale también, que sólo junto a ella puedo respirar",Pop,S
No hay brillo en las estrellas,Pop,N
"Ya ni el sol, me calienta",Pop,N
"Y estoy muy solo aqui, no sé a donde fue",Pop,N
Por favor digale usted,Pop,S
Recuérdame cuando duermes y adivino lo que sueñas,Pop,S
Cuando lejos de nuestra cama sean en mí en quien piensas,Pop,S
Recuérdame,Pop,S
Recuérdame cuando parta y no regrese a nuestra casa,Pop,S
Cuando el frío y la tristeza se funden y te abrazan,Pop,N
Recuérdame,Pop,S
Recuérdame cuando mires a los ojos del pasado,Pop,S
Cuando ya no amanezca en tus brazos,Pop,N
"Y que seas invisible para mí, para mí",Pop,S
Recuérdame amándote,Pop,P
Mirándote a los ojos,Pop,S
Atándome a tu vida,Pop,S
Recuérdame amándote,Pop,P
Esperando tranquila,Pop,S
Sin rencores y sin medida,Pop,S
"Recuérdame, recuérdame",Pop,S
Que mi alma fue tatuada en tu piel,Pop,S
Recuérdame cuando sientas que tu alma está inquieta,Pop,S
Si el deseo y tu amor no me calientan,Pop,S
Recuérdame,Pop,S
Recuérdame cuando mires a los ojos del pasado,Pop,S
Cuando ya no amanezca en tus brazos Y,Pop,S
"que seas invisible para mí, para mí",Pop,S
Recuérdame amándote,Pop,P
Mirándote a los ojos,Pop,S
Atándome a tu vida,Pop,S
Recuérdame amándote,Pop,S
Esperándome tranquila,Pop,S
Sin rencores y sin medida tu piel,Pop,S
Recuérdame amándote,Pop,P
Mirándote a los ojos,Pop,S
Atándome a tu vida,Pop,S
"Recuérdame, recuérdame",Pop,S
Que mi alma fue tatuada en tu piel,Pop,S
¿Quién dice que no duelen,Pop,S
Las huellas en la arena?,Pop,S
Tu huella el mar se la llevó,Pop,S
Pero la Luna sigue ahí,Pop,S
Pero esa Luna es mi condena,Pop,S
Despacio en la mañana,Pop,S
A gritos por la noche,Pop,S
Las voces vivas del recuerdo se disfrazan de intuición,Pop,S
"Y en una voz, tu voz se esconde",Pop,S
"Y en una voz, tu voz se esconde",Pop,S
Y yo sé que tal vez,Pop,S
"Tú nunca escuches mi canción, yo sé",Pop,S
